geo,Año,Ciclo del cultivo,Producción (ton)
15861,2019,Permanente,1748
15861,2019,Transitorio,142815
15861,2020,Permanente,1961
15861,2020,Transitorio,143224
15861,2021,Permanente,1094
15861,2021,Transitorio,147091
15861,2022,Permanente,2419
15861,2022,Transitorio,153022
15879,2019,Permanente,449
15879,2019,Transitorio,10893
15879,2020,Permanente,647
15879,2020,Transitorio,10343
15879,2021,Permanente,482
15879,2021,Transitorio,12300
15879,2022,Permanente,722
15879,2022,Transitorio,15273
15897,2019,Permanente,7436
15897,2019,Transitorio,464
15897,2020,Permanente,7140
15897,2020,Transitorio,744
15897,2021,Permanente,6938
15897,2021,Transitorio,1270
15897,2022,Permanente,6500
15897,2022,Transitorio,1212
