Año,geo,variable,Categoria,Componente servicio
2018,15476,MOTAVITA,Centros poblados y rural disperso,0.001552
2018,15480,MUZO,Centros poblados y rural disperso,0.071184
2018,15491,NOBSA,Centros poblados y rural disperso,0.000618
2018,15494,NUEVO COLÓN,Centros poblados y rural disperso,0.004461
2018,15500,OICATÁ,Centros poblados y rural disperso,0.004172
2018,15507,OTANCHE,Centros poblados y rural disperso,0.157143
2018,15511,PACHAVITA,Centros poblados y rural disperso,0.012450
2018,15514,PÁEZ,Centros poblados y rural disperso,0.008934
2018,15516,PAIPA,Centros poblados y rural disperso,0.004756
2018,15518,PAJARITO,Centros poblados y rural disperso,0.031434
2018,15522,PANQUEBA,Centros poblados y rural disperso,0.019906
2018,15531,PAUNA,Centros poblados y rural disperso,0.134767
2018,15533,PAYA,Centros poblados y rural disperso,0.404821
2018,15537,PAZ DE RÍO,Centros poblados y rural disperso,0.004989
2018,15542,PESCA,Centros poblados y rural disperso,0.042441
2018,15550,PISBA,Centros poblados y rural disperso,0.147727
2018,15572,PUERTO BOYACÁ,Centros poblados y rural disperso,0.022364
2018,15580,QUÍPAMA,Centros poblados y rural disperso,0.101509
2018,15599,RAMIRIQUÍ,Centros poblados y rural disperso,0.037395
2018,15600,RÁQUIRA,Centros poblados y rural disperso,0.030470
2018,15621,RONDÓN,Centros poblados y rural disperso,0.011607
2018,15632,SABOYÁ,Centros poblados y rural disperso,0.028871
2018,15638,SÁCHICA,Centros poblados y rural disperso,0.006324
2018,15646,SAMACÁ,Centros poblados y rural disperso,0.003227
2018,15660,SAN EDUARDO,Centros poblados y rural disperso,0.050963
2018,15664,SAN JOSÉ DE PARE,Centros poblados y rural disperso,0.009698
2018,15667,SAN LUIS DE GACENO,Centros poblados y rural disperso,0.022850
2018,15673,SAN MATEO,Centros poblados y rural disperso,0.065765
2018,15676,SAN MIGUEL DE SEMA,Centros poblados y rural disperso,0.009627
2018,15681,SAN PABLO DE BORBUR,Centros poblados y rural disperso,0.075398
2018,15686,SANTANA,Centros poblados y rural disperso,0.036020
2018,15690,SANTA MARÍA,Centros poblados y rural disperso,0.039216
2018,15693,SANTA ROSA DE VITERBO,Centros poblados y rural disperso,0.004306
2018,15696,SANTA SOFÍA,Centros poblados y rural disperso,0.004639
2018,15720,SATIVANORTE,Centros poblados y rural disperso,0.055901
2018,15723,SATIVASUR,Centros poblados y rural disperso,0.007979
2018,15740,SIACHOQUE,Centros poblados y rural disperso,0.009037
2018,15753,SOATÁ,Centros poblados y rural disperso,0.021683
2018,15755,SOCOTÁ,Centros poblados y rural disperso,0.083738
2018,15757,SOCHA,Centros poblados y rural disperso,0.001527
2018,15759,SOGAMOSO,Centros poblados y rural disperso,0.005080
2018,15761,SOMONDOCO,Centros poblados y rural disperso,0.005093
2018,15762,SORA,Centros poblados y rural disperso,0.021606
2018,15763,SOTAQUIRÁ,Centros poblados y rural disperso,0.008986
2018,15764,SORACÁ,Centros poblados y rural disperso,0.003375
2018,15774,SUSACÓN,Centros poblados y rural disperso,0.045547
2018,15776,SUTAMARCHÁN,Centros poblados y rural disperso,0.049837
2018,15778,SUTATENZA,Centros poblados y rural disperso,0.012403
2018,15790,TASCO,Centros poblados y rural disperso,0.005467
2018,15798,TENZA,Centros poblados y rural disperso,0.015966
2018,15804,TIBANÁ,Centros poblados y rural disperso,0.028735
2018,15806,TIBASOSA,Centros poblados y rural disperso,0.000000
2018,15808,TINJACÁ,Centros poblados y rural disperso,0.038282
2018,15810,TIPACOQUE,Centros poblados y rural disperso,0.126892
2018,15814,TOCA,Centros poblados y rural disperso,0.005775
2018,15816,TOGÜÍ,Centros poblados y rural disperso,0.017694
2018,15820,TÓPAGA,Centros poblados y rural disperso,0.008327
