geo,Municipio,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15832,Tununguá,Frijol,2019,12.000000,Transitorio
15832,Tununguá,Frijol,2019,5.000000,Transitorio
15835,Turmequé,Arveja,2019,15.000000,Transitorio
15835,Turmequé,Arveja,2019,15.000000,Transitorio
15835,Turmequé,Frijol,2019,35.000000,Transitorio
15835,Turmequé,Frijol,2019,40.000000,Transitorio
15837,Tuta,Arveja,2019,4.000000,Transitorio
15837,Tuta,Arveja,2019,3.000000,Transitorio
15839,Tutazá,Arveja,2019,15.000000,Transitorio
15839,Tutazá,Arveja,2019,8.000000,Transitorio
15839,Tutazá,Frijol,2019,4.000000,Transitorio
15839,Tutazá,Frijol,2019,2.000000,Transitorio
15839,Tutazá,Haba,2019,5.000000,Transitorio
15839,Tutazá,Haba,2019,3.000000,Transitorio
15842,Úmbita,Arveja,2019,25.000000,Transitorio
15842,Úmbita,Arveja,2019,36.000000,Transitorio
15842,Úmbita,Frijol,2019,55.000000,Transitorio
15842,Úmbita,Frijol,2019,50.000000,Transitorio
15842,Úmbita,Haba,2019,10.000000,Transitorio
15861,Ventaquemada,Arveja,2019,5.000000,Transitorio
15861,Ventaquemada,Arveja,2019,20.000000,Transitorio
15861,Ventaquemada,Frijol,2019,1.000000,Transitorio
15861,Ventaquemada,Frijol,2019,6.000000,Transitorio
15879,Viracachá,Arveja,2019,15.000000,Transitorio
15879,Viracachá,Arveja,2019,18.000000,Transitorio
15897,zetaquira,Frijol,2019,120.000000,Transitorio
15001,Tunja,Arveja,2020,20.000000,Transitorio
15001,Tunja,Arveja,2020,200.000000,Transitorio
15022,Almeida,Arveja,2020,4.000000,Transitorio
15022,Almeida,Arveja,2020,5.000000,Transitorio
15022,Almeida,Frijol,2020,60.000000,Transitorio
15047,Aquitania,Arveja,2020,22.000000,Transitorio
15047,Aquitania,Arveja,2020,15.000000,Transitorio
15051,Arcabuco,Arveja,2020,6.000000,Transitorio
15051,Arcabuco,Arveja,2020,8.000000,Transitorio
15051,Arcabuco,Frijol,2020,3.000000,Transitorio
15051,Arcabuco,Frijol,2020,2.000000,Transitorio
15087,Belén,Arveja,2020,18.000000,Transitorio
15087,Belén,Arveja,2020,15.000000,Transitorio
15087,Belén,Frijol,2020,11.000000,Transitorio
15087,Belén,Frijol,2020,4.000000,Transitorio
15087,Belén,Haba,2020,4.000000,Transitorio
15087,Belén,Haba,2020,5.000000,Transitorio
15090,Berbeo,Frijol,2020,15.000000,Transitorio
15090,Berbeo,Frijol,2020,10.000000,Transitorio
15092,Betéitiva,Arveja,2020,12.000000,Transitorio
15092,Betéitiva,Arveja,2020,4.000000,Transitorio
15092,Betéitiva,Frijol,2020,12.000000,Transitorio
15092,Betéitiva,Haba,2020,2.000000,Transitorio
15097,Boavita,Arveja,2020,10.000000,Transitorio
15097,Boavita,Arveja,2020,20.000000,Transitorio
15097,Boavita,Frijol,2020,100.000000,Transitorio
15097,Boavita,Frijol,2020,30.000000,Transitorio
15104,Boyacá,Arveja,2020,25.000000,Transitorio
15106,Briceño,Frijol,2020,25.000000,Transitorio
15106,Briceño,Frijol,2020,19.000000,Transitorio
15109,Buenavista,Arveja,2020,15.000000,Transitorio
15109,Buenavista,Arveja,2020,13.000000,Transitorio
15109,Buenavista,Frijol,2020,52.000000,Transitorio
15109,Buenavista,Frijol,2020,50.000000,Transitorio
15109,Buenavista,Habichuela,2020,9.000000,Transitorio
15109,Buenavista,Habichuela,2020,4.000000,Transitorio
15114,Busbanzá,Arveja,2020,2.000000,Transitorio
15114,Busbanzá,Frijol,2020,35.000000,Transitorio
15131,Caldas,Arveja,2020,33.000000,Transitorio
15131,Caldas,Arveja,2020,40.000000,Transitorio
15131,Caldas,Frijol,2020,30.000000,Transitorio
15131,Caldas,Frijol,2020,30.000000,Transitorio
15135,Campohermoso,Frijol,2020,25.000000,Transitorio
15135,Campohermoso,Frijol,2020,75.000000,Transitorio
15162,Cerinza,Arveja,2020,1.000000,Transitorio
15162,Cerinza,Arveja,2020,1.000000,Transitorio
15172,Chinavita,Arveja,2020,4.500000,Transitorio
15172,Chinavita,Arveja,2020,7.000000,Transitorio
15172,Chinavita,Frijol,2020,2.500000,Transitorio
15172,Chinavita,Frijol,2020,22.000000,Transitorio
15172,Chinavita,Habichuela,2020,2.000000,Transitorio
15172,Chinavita,Habichuela,2020,1.500000,Transitorio
15176,Chiquinquirá,Arveja,2020,72.000000,Transitorio
15176,Chiquinquirá,Arveja,2020,110.000000,Transitorio
15176,Chiquinquirá,Frijol,2020,54.000000,Transitorio
15176,Chiquinquirá,Frijol,2020,54.000000,Transitorio
15176,Chiquinquirá,Haba,2020,9.000000,Transitorio
15180,Chiscas,Arveja,2020,7.000000,Transitorio
15180,Chiscas,Arveja,2020,8.000000,Transitorio
15180,Chiscas,Frijol,2020,30.000000,Transitorio
15180,Chiscas,Frijol,2020,25.000000,Transitorio
15180,Chiscas,Haba,2020,4.000000,Transitorio
15180,Chiscas,Haba,2020,6.000000,Transitorio
15183,Chita,Arveja,2020,12.000000,Transitorio
15183,Chita,Arveja,2020,13.000000,Transitorio
15183,Chita,Frijol,2020,3.000000,Transitorio
15183,Chita,Haba,2020,3.000000,Transitorio
15185,Chitaraque,Frijol,2020,60.000000,Transitorio
15185,Chitaraque,Frijol,2020,63.000000,Transitorio
15187,Chivatá,Arveja,2020,40.000000,Transitorio
15187,Chivatá,Arveja,2020,20.000000,Transitorio
15187,Chivatá,Haba,2020,1.000000,Transitorio
15189,Ciénega,Arveja,2020,185.000000,Transitorio
15189,Ciénega,Arveja,2020,190.000000,Transitorio
15189,Ciénega,Frijol,2020,20.000000,Transitorio
15189,Ciénega,Frijol,2020,25.000000,Transitorio
15204,Cómbita,Arveja,2020,35.000000,Transitorio
15204,Cómbita,Arveja,2020,32.000000,Transitorio
15204,Cómbita,Frijol,2020,10.000000,Transitorio
15204,Cómbita,Frijol,2020,7.000000,Transitorio
15204,Cómbita,Haba,2020,10.000000,Transitorio
15204,Cómbita,Haba,2020,10.000000,Transitorio
15212,Coper,Frijol,2020,20.000000,Transitorio
15212,Coper,Frijol,2020,40.000000,Transitorio
15215,Corrales,Arveja,2020,4.000000,Transitorio
15215,Corrales,Frijol,2020,0.500000,Transitorio
15215,Corrales,Frijol,2020,1.000000,Transitorio
15218,Covarachía,Arveja,2020,3.000000,Transitorio
15218,Covarachía,Arveja,2020,4.000000,Transitorio
15218,Covarachía,Frijol,2020,100.000000,Transitorio
15218,Covarachía,Frijol,2020,300.000000,Transitorio
15224,Cucaita,Arveja,2020,25.000000,Transitorio
15224,Cucaita,Arveja,2020,200.000000,Transitorio
