geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15325,GUAYATA,Cafe,2014,43
15442,MARIPI,Cafe,2014,59
15514,PAEZ,Cafe,2014,69
15681,SAN PABLO DE BORBUR,Cafe,2014,52
15212,COPER,Cafe,2014,43
15507,OTANCHE,Cafe,2014,69
15660,SAN EDUARDO,Cafe,2014,69
15135,CAMPOHERMOSO,Cafe,2014,61
15832,TUNUNGUA,Cafe,2014,69
15299,GARAGOA,Cafe,2014,43
15580,QUIPAMA,Cafe,2014,69
15511,PACHAVITA,Cafe,2014,43
15550,PISBA,Cafe,2014,69
15401,LA VICTORIA,Cafe,2014,69
15621,RONDON,Cafe,2014,61
15425,MACANAL,Cafe,2014,69
15480,MUZO,Cafe,2014,69
15377,LABRANZAGRANDE,Cafe,2014,69
15022,ALMEIDA,Cafe,2014,69
15172,CHINAVITA,Cafe,2014,69
15761,SOMONDOCO,Cafe,2014,43
15322,GUATEQUE,Cafe,2014,69
15518,PAJARITO,Cafe,2014,43
15533,PAYA,Cafe,2014,69
15667,SAN LUIS DE GACENO,Cafe,2014,43
15690,SANTA MARIA,Cafe,2014,61
15469,MONIQUIRA,Cafe,2015,9
15897,ZETAQUIRA,Cafe,2015,99
15455,MIRAFLORES,Cafe,2015,96
15664,SAN JOSE DE PARE,Cafe,2015,93
15816,TOGUI,Cafe,2015,96
15686,SANTANA,Cafe,2015,87
15109,BUENAVISTA,Cafe,2015,91
15090,BERBEO,Cafe,2015,93
15185,CHITARAQUE,Cafe,2015,88
15106,BRICEÑO,Cafe,2015,8
15531,PAUNA,Cafe,2015,88
15325,GUAYATA,Cafe,2015,54
15514,PAEZ,Cafe,2015,104
15681,SAN PABLO DE BORBUR,Cafe,2015,112
15442,MARIPI,Cafe,2015,87
15212,COPER,Cafe,2015,86
15660,SAN EDUARDO,Cafe,2015,106
15507,OTANCHE,Cafe,2015,92
15135,CAMPOHERMOSO,Cafe,2015,92
15832,TUNUNGUA,Cafe,2015,81
15550,PISBA,Cafe,2015,77
15580,QUIPAMA,Cafe,2015,98
15299,GARAGOA,Cafe,2015,89
15511,PACHAVITA,Cafe,2015,76
15621,RONDON,Cafe,2015,12
15401,LA VICTORIA,Cafe,2015,92
15425,MACANAL,Cafe,2015,93
15377,LABRANZAGRANDE,Cafe,2015,79
15480,MUZO,Cafe,2015,95
15022,ALMEIDA,Cafe,2015,87
15172,CHINAVITA,Cafe,2015,8
15322,GUATEQUE,Cafe,2015,103
15761,SOMONDOCO,Cafe,2015,61
15518,PAJARITO,Cafe,2015,92
15533,PAYA,Cafe,2015,57
15667,SAN LUIS DE GACENO,Cafe,2015,45
15690,SANTA MARIA,Cafe,2015,82
15469,MONIQUIRA,Cafe,2016,93
15897,ZETAQUIRA,Cafe,2016,102
15455,MIRAFLORES,Cafe,2016,99
15664,SAN JOSE DE PARE,Cafe,2016,96
15816,TOGUI,Cafe,2016,99
15686,SANTANA,Cafe,2016,9
15109,BUENAVISTA,Cafe,2016,95
15090,BERBEO,Cafe,2016,96
15185,CHITARAQUE,Cafe,2016,91
15531,PAUNA,Cafe,2016,91
15325,GUAYATA,Cafe,2016,56
15514,PAEZ,Cafe,2016,108
