geo,Municipio,Año,Trimestre,Índice
15022,ALMEIDA,2020,3,0.406504
15476,MOTAVITA,2021,2,1.098524
15218,COVARACHIA,2022,1,2.357836
15790,TASCO,2022,1,0.704110
15104,BOYACA,2021,2,1.513145
15693,SANTA ROSA DE VITERBO,2021,3,1.441850
15187,CHIVATA,2021,2,0.789564
15047,AQUITANIA,2021,4,6.664577
15676,SAN MIGUEL DE SEMA,2022,3,3.610224
15763,SOTAQUIRA,2021,3,2.585194
15185,CHITARAQUE,2022,2,0.393120
15109,BUENAVISTA,2021,2,2.571994
15183,CHITA,2021,4,2.065151
15816,TOGsI,2022,4,0.398230
15664,SAN JOSE DE PARE,2021,4,2.827813
15696,SANTA SOFIA,2021,1,1.208824
15466,MONGUI,2021,4,2.366728
15299,GARAGOA,2022,4,0.947269
15837,TUTA,2021,2,3.367666
15686,SANTANA,2021,2,1.229716
15022,ALMEIDA,2021,3,0.451807
15806,TIBASOSA,2022,1,9.278351
15226,CUITIVA,2020,3,1.293801
15740,SIACHOQUE,2021,2,0.486061
15248,EL ESPINO,2021,4,0.318370
15842,UMBITA,2020,2,0.943884
15224,CUCAITA,2022,2,0.967660
15480,MUZO,2020,2,0.547633
15514,PAEZ,2021,2,0.623330
15162,CERINZA,2020,4,4.978925
15272,FIRAVITOBA,2022,1,5.647793
15223,CUBARA,2020,3,0.538683
15681,SAN PABLO DE BORBUR,2021,2,0.567190
15879,VIRACACHA,2020,3,0.724638
15757,SOCHA,2022,1,6.304035
15753,SOATA,2020,4,8.624252
15455,MIRAFLORES,2021,3,12.434612
15764,SORACA,2022,4,1.841562
15861,VENTAQUEMADA,2022,2,3.186892
15518,PAJARITO,2020,2,2.774378
15897,ZETAQUIRA,2022,2,3.394040
15839,TUTAZA,2020,3,1.142313
15238,DUITAMA,2021,2,23.559714
15516,PAIPA,2022,1,8.980861
15804,TIBANA,2021,4,2.406303
15464,MONGUA,2021,1,1.103477
15276,FLORESTA,2021,1,1.725164
15839,TUTAZA,2021,4,1.187085
15401,LA VICTORIA,2022,3,1.108269
15814,TOCA,2021,1,1.523789
15185,CHITARAQUE,2020,4,0.283712
15362,IZA,2021,3,9.350394
15757,SOCHA,2022,4,6.316042
15664,SAN JOSE DE PARE,2020,2,0.487710
15600,RAQUIRA,2020,4,1.925908
15047,AQUITANIA,2020,4,3.269255
15090,BERBEO,2022,3,6.049607
15332,GsICAN,2022,1,0.315244
15816,TOGsI,2020,4,3.121491
15476,MOTAVITA,2020,2,0.832466
15776,SUTAMARCHAN,2020,4,1.998731
15810,TIPACOQUE,2022,2,0.261476
15248,EL ESPINO,2022,3,0.284270
15814,TOCA,2021,3,2.729665
15810,TIPACOQUE,2022,4,0.348635
15762,SORA,2022,3,2.171177
15466,MONGUI,2020,3,8.181609
15051,ARCABUCO,2022,2,7.768247
15238,DUITAMA,2021,1,23.585316
15047,AQUITANIA,2021,1,5.730408
15097,BOAVITA,2022,4,2.676720
15762,SORA,2021,4,0.890302
15322,GUATEQUE,2021,1,3.010483
15090,BERBEO,2020,4,2.338462
15879,VIRACACHA,2022,3,1.595384
15537,PAZ DE RIO,2021,4,10.503432
15820,TOPAGA,2021,4,2.267271
15238,DUITAMA,2020,4,22.158854
15861,VENTAQUEMADA,2022,4,0.870244
15466,MONGUI,2022,1,2.456220
15299,GARAGOA,2020,2,2.159978
15087,BELEN,2022,3,9.093228
15755,SOCOTA,2021,1,1.394102
15814,TOCA,2021,2,1.216838
15455,MIRAFLORES,2022,4,8.923772
15507,OTANCHE,2022,2,4.944141
15580,QUIPAMA,2022,2,0.311223
15879,VIRACACHA,2020,4,0.690131
15476,MOTAVITA,2021,4,3.776176
15822,TOTA,2022,2,0.956762
15180,CHISCAS,2022,1,2.260574
15686,SANTANA,2020,3,1.281230
15806,TIBASOSA,2022,4,10.055176
15368,JERICO,2022,4,1.057030
15693,SANTA ROSA DE VITERBO,2020,2,1.271625
15676,SAN MIGUEL DE SEMA,2021,1,3.099774
15187,CHIVATA,2022,4,4.432322
15172,CHINAVITA,2020,2,1.007326
15106,BRICE�O,2022,3,0.483729
15092,BETEITIVA,2022,3,1.330705
15518,PAJARITO,2021,4,3.493095
15664,SAN JOSE DE PARE,2021,2,0.890955
15464,MONGUA,2020,4,1.055298
15740,SIACHOQUE,2022,1,3.032880
15572,PUERTO BOYACA,2022,1,11.675362
15407,VILLA DE LEYVA,2021,4,16.047001
15377,LABRANZAGRANDE,2021,3,0.553250
15172,CHINAVITA,2022,3,0.686977
15507,OTANCHE,2022,4,5.015450
15272,FIRAVITOBA,2021,3,5.617009
15835,TURMEQUE,2021,3,2.340291
15215,CORRALES,2020,2,1.555815
15740,SIACHOQUE,2021,1,0.543245
15466,MONGUI,2021,2,2.320772
15820,TOPAGA,2021,1,2.827421
15516,PAIPA,2020,3,16.606840
15537,PAZ DE RIO,2022,2,7.885224
15491,NOBSA,2020,3,7.466651
15380,LA CAPILLA,2021,2,0.507798
15172,CHINAVITA,2021,4,0.728376
15808,TINJACA,2021,1,3.562044
15667,SAN LUIS DE GACENO,2022,3,1.236503
15236,CHIVOR,2022,1,0.576037
15368,JERICO,2020,4,1.049738
15425,MACANAL,2022,2,6.475645
15185,CHITARAQUE,2022,1,0.360360
15740,SIACHOQUE,2020,4,0.593515
15835,TURMEQUE,2021,1,2.197976
15185,CHITARAQUE,2022,4,0.343980
15223,CUBARA,2021,4,2.805190
15696,SANTA SOFIA,2021,3,1.118163
15667,SAN LUIS DE GACENO,2021,1,0.404716
15172,CHINAVITA,2021,2,0.971168
15106,BRICE�O,2020,2,1.024499
15686,SANTANA,2020,4,1.255605
15774,SUSACON,2021,4,0.252708
15022,ALMEIDA,2021,2,0.451807
15090,BERBEO,2021,2,2.066869
15187,CHIVATA,2021,3,0.755235
15516,PAIPA,2021,2,17.568792
15299,GARAGOA,2021,4,6.592880
15761,SOMONDOCO,2022,4,0.232481
15762,SORA,2022,2,1.384519
15646,SAMACA,2021,3,6.884717
15759,SOGAMOSO,2021,2,23.044503
15537,PAZ DE RIO,2022,1,2.846814
15332,GsICAN,2021,4,0.295320
15464,MONGUA,2021,4,0.916094
15537,PAZ DE RIO,2020,3,4.880843
15293,GACHANTIVA,2020,2,0.841220
15681,SAN PABLO DE BORBUR,2022,3,0.705645
15673,SAN MATEO,2022,2,4.309361
15022,ALMEIDA,2022,2,0.300451
15051,ARCABUCO,2022,4,2.427577
15106,BRICE�O,2021,3,0.670541
15403,LA UVITA,2020,2,0.517632
15232,CHIQUIZA,2021,3,0.267876
15176,CHIQUINQUIRA,2021,3,9.467395
15696,SANTA SOFIA,2022,2,1.290516
15632,SABOYA,2022,1,0.216647
15114,BUSBANZA,2021,1,2.405498
15790,TASCO,2021,4,0.761463
15632,SABOYA,2022,2,0.209658
15189,CIENEGA,2022,3,4.476996
15135,CAMPOHERMOSO,2021,4,0.627156
15810,TIPACOQUE,2020,4,0.353253
15673,SAN MATEO,2022,3,4.908676
15839,TUTAZA,2021,2,1.804368
15778,SUTATENZA,2022,2,0.271924
15185,CHITARAQUE,2021,1,0.414044
15676,SAN MIGUEL DE SEMA,2020,4,3.702501
15332,GsICAN,2020,4,0.504819
15696,SANTA SOFIA,2022,3,1.560624
15215,CORRALES,2022,2,7.221589
15638,SACHICA,2021,3,2.494766
15442,MARIPI,2021,3,0.271463
15696,SANTA SOFIA,2020,2,0.918555
15511,PACHAVITA,2020,3,0.597134
15533,PAYA,2022,2,0.438436
15686,SANTANA,2021,1,1.280426
15638,SACHICA,2022,4,3.681404
15778,SUTATENZA,2021,3,0.706633
15764,SORACA,2021,1,1.380861
15332,GsICAN,2021,2,0.499773
15276,FLORESTA,2020,3,1.527403
15317,GUACAMAYAS,2020,3,0.367261
15226,CUITIVA,2021,4,3.630539
15494,NUEVO COLON,2022,1,1.752424
15332,GsICAN,2022,4,0.270209
15367,JENESANO,2021,3,3.582845
15401,LA VICTORIA,2022,2,0.596760
15218,COVARACHIA,2022,3,2.357836
15646,SAMACA,2020,3,3.989670
15176,CHIQUINQUIRA,2020,2,9.372689
15816,TOGsI,2021,4,2.613941
15814,TOCA,2022,4,8.885036
15407,VILLA DE LEYVA,2020,3,8.850609
15362,IZA,2021,4,9.744094
15022,ALMEIDA,2022,4,0.300451
15367,JENESANO,2022,1,3.262729
15322,GUATEQUE,2021,4,3.816862
15223,CUBARA,2020,2,0.445807
15325,GUAYATA,2022,1,2.614943
15176,CHIQUINQUIRA,2020,4,9.856030
15226,CUITIVA,2021,1,2.349172
15763,SOTAQUIRA,2020,2,2.220112
15676,SAN MIGUEL DE SEMA,2021,4,3.551824
15507,OTANCHE,2020,4,3.875030
15455,MIRAFLORES,2020,4,6.918515
15690,SANTA MARIA,2021,4,5.578456
