geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15455,Miraflores,Café,2013,748
15664,San Jose De Pare,Café,2013,551
15816,Togui,Café,2013,521
15686,Santana,Café,2013,457
15106,Briceño,Café,2013,477
15185,Chitaraque,Café,2013,386
15090,Berbeo,Café,2013,377
15109,Buenavista,Café,2013,355
15531,Pauna,Café,2013,328
15442,Maripi,Café,2013,297
15325,Guayata,Café,2013,319
15212,Coper,Café,2013,241
15514,Paez,Café,2013,220
15681,San Pablo De Borbur,Café,2013,186
15660,San Eduardo,Café,2013,155
15507,Otanche,Café,2013,157
15832,Tunungua,Café,2013,170
15135,Campohermoso,Café,2013,126
15580,Quipama,Café,2013,72
15299,Garagoa,Café,2013,80
15511,Pachavita,Café,2013,74
15401,La Victoria,Café,2013,82
15550,Pisba,Café,2013,91
15425,Macanal,Café,2013,46
15621,Rondon,Café,2013,59
15798,Tenza,Café,2013,62
15480,Muzo,Café,2013,27
15022,Almeida,Café,2013,25
15172,Chinavita,Café,2013,51
15377,Labranzagrande,Café,2013,37
15761,Somondoco,Café,2013,42
15322,Guateque,Café,2013,13
15518,Pajarito,Café,2013,15
15533,Paya,Café,2013,24
15317,Guacamayas,Café,2013,10
15667,San Luis De Gaceno,Café,2013,10
15690,Santa Maria,Café,2013,2
15469,Moniquira,Café,2014,1.435
15897,Zetaquira,Café,2014,923
15455,Miraflores,Café,2014,778
15664,San Jose De Pare,Café,2014,620
15816,Togui,Café,2014,530
15686,Santana,Café,2014,498
15090,Berbeo,Café,2014,399
15109,Buenavista,Café,2014,407
15106,Briceño,Café,2014,440
15185,Chitaraque,Café,2014,411
15531,Pauna,Café,2014,336
15325,Guayata,Café,2014,348
15442,Maripi,Café,2014,287
15514,Paez,Café,2014,232
15681,San Pablo De Borbur,Café,2014,214
15212,Coper,Café,2014,236
15507,Otanche,Café,2014,163
15660,San Eduardo,Café,2014,184
15135,Campohermoso,Café,2014,155
15832,Tunungua,Café,2014,164
15299,Garagoa,Café,2014,107
15580,Quipama,Café,2014,99
15511,Pachavita,Café,2014,105
15550,Pisba,Café,2014,110
15401,La Victoria,Café,2014,92
15621,Rondon,Café,2014,75
15425,Macanal,Café,2014,76
15480,Muzo,Café,2014,57
15377,Labranzagrande,Café,2014,64
15022,Almeida,Café,2014,65
15172,Chinavita,Café,2014,63
15761,Somondoco,Café,2014,53
15322,Guateque,Café,2014,40
15518,Pajarito,Café,2014,30
15533,Paya,Café,2014,26
15667,San Luis De Gaceno,Café,2014,11
15690,Santa Maria,Café,2014,3
15469,Moniquira,Café,2015,1.477
15897,Zetaquira,Café,2015,987
15455,Miraflores,Café,2015,875
15664,San Jose De Pare,Café,2015,677
15816,Togui,Café,2015,574
15686,Santana,Café,2015,515
15109,Buenavista,Café,2015,425
15090,Berbeo,Café,2015,413
15185,Chitaraque,Café,2015,430
15106,Briceño,Café,2015,364
15531,Pauna,Café,2015,367
15325,Guayata,Café,2015,352
15514,Paez,Café,2015,273
15681,San Pablo De Borbur,Café,2015,253
15442,Maripi,Café,2015,292
15212,Coper,Café,2015,262
15660,San Eduardo,Café,2015,190
15507,Otanche,Café,2015,184
15135,Campohermoso,Café,2015,179
15832,Tunungua,Café,2015,161
15550,Pisba,Café,2015,122
15580,Quipama,Café,2015,126
15299,Garagoa,Café,2015,124
15511,Pachavita,Café,2015,112
15621,Rondon,Café,2015,88
15401,La Victoria,Café,2015,105
15425,Macanal,Café,2015,88
15377,Labranzagrande,Café,2015,68
15480,Muzo,Café,2015,74
15022,Almeida,Café,2015,70
15172,Chinavita,Café,2015,62
15322,Guateque,Café,2015,49
15761,Somondoco,Café,2015,52
15518,Pajarito,Café,2015,30
15533,Paya,Café,2015,28
15667,San Luis De Gaceno,Café,2015,12
15690,Santa Maria,Café,2015,3
15469,Moniquira,Café,2016,1.422
15897,Zetaquira,Café,2016,997
15455,Miraflores,Café,2016,830
15664,San Jose De Pare,Café,2016,673
15816,Togui,Café,2016,564
15686,Santana,Café,2016,515
15109,Buenavista,Café,2016,420
15090,Berbeo,Café,2016,411
15185,Chitaraque,Café,2016,434
15531,Pauna,Café,2016,363
15325,Guayata,Café,2016,337
15514,Paez,Café,2016,271
15681,San Pablo De Borbur,Café,2016,254
15442,Maripi,Café,2016,282
15106,Briceño,Café,2016,251
15212,Coper,Café,2016,266
15660,San Eduardo,Café,2016,191
15507,Otanche,Café,2016,182
15135,Campohermoso,Café,2016,179
15550,Pisba,Café,2016,126
15580,Quipama,Café,2016,123
15299,Garagoa,Café,2016,124
15832,Tunungua,Café,2016,126
15511,Pachavita,Café,2016,111
15401,La Victoria,Café,2016,108
15621,Rondon,Café,2016,89
15425,Macanal,Café,2016,86
15377,Labranzagrande,Café,2016,68
15480,Muzo,Café,2016,73
15022,Almeida,Café,2016,69
15172,Chinavita,Café,2016,59
15322,Guateque,Café,2016,49
15761,Somondoco,Café,2016,51
15533,Paya,Café,2016,32
15518,Pajarito,Café,2016,31
15667,San Luis De Gaceno,Café,2016,11
15690,Santa Maria,Café,2016,3
15469,Moniquira,Café,2017,1.342
15897,Zetaquira,Café,2017,1.047
15455,Miraflores,Café,2017,796
15664,San Jose De Pare,Café,2017,674
15816,Togui,Café,2017,536
15686,Santana,Café,2017,458
15090,Berbeo,Café,2017,435
