geo,Area,Periodo,Valor
15296,Maripí,2016,0.894000
15296,Tunja,2017,0.894000
15296,La Capilla,2012,0.894700
15296,La Capilla,2012,0.895000
15296,Briceño,2015,0.895000
15296,Susacón,2016,0.895000
15296,Quípama,2013,0.895800
15296,Quípama,2013,0.895800
15296,Tibasosa,2015,0.896000
15296,Nobsa,2012,0.897000
15296,Duitama,2016,0.897000
15296,La Uvita,2016,0.897000
15296,Puerto Boyacá,2017,0.897000
15296,Nobsa,2012,0.897400
15296,Tipacoque,2014,0.898000
15296,Tipacoque,2014,0.898000
15296,Togüí,2012,0.898600
15296,Togüí,2012,0.899000
15296,Pauna,2013,0.901000
15296,Pauna,2013,0.901000
15296,Pesca,2017,0.901000
15296,Saboyá,2016,0.902000
15296,Garagoa,2015,0.903000
15296,Motavita,2015,0.904000
15296,Cuítiva,2012,0.904800
15296,Cuítiva,2012,0.905000
15296,Jenesano,2016,0.905000
15296,Tópaga,2016,0.905000
15296,Labranzagrande,2012,0.905700
15296,Labranzagrande,2012,0.906000
15296,Soracá,2015,0.906000
15296,Garagoa,2017,0.906000
15296,Nuevo Colón,2013,0.906700
15296,Nuevo Colón,2013,0.906700
15296,Tasco,2013,0.907400
15296,Tasco,2013,0.907400
15296,Sotaquirá,2014,0.908000
15296,Ramiriquí,2015,0.908000
15296,Chita,2016,0.908000
15296,Sotaquirá,2014,0.908200
15296,Arcabuco,2012,0.909000
15296,Chita,2012,0.909000
15296,Guayatá,2016,0.909000
15296,Arcabuco,2012,0.909100
15296,Chita,2012,0.909100
15296,Soatá,2014,0.910700
15296,Soatá,2014,0.911000
15296,Villa De Leyva,2016,0.911000
15296,Paya,2015,0.912000
15296,Puerto Boyacá,2015,0.912000
15296,Campohermoso,2012,0.913000
15296,Campohermoso,2012,0.913000
15296,Pachavita,2014,0.913000
15296,Pachavita,2014,0.913000
15296,Coper,2012,0.914000
15296,Coper,2012,0.914300
15296,Iza,2012,0.914300
15296,Chiquinquirá,2015,0.915000
15296,Soatá,2016,0.915000
15296,San José De Pare,2017,0.915000
15296,Pisba,2012,0.916700
15296,Rondón,2014,0.916700
15296,Sativanorte,2014,0.916700
15296,Pisba,2012,0.917000
15296,Rondón,2014,0.917000
15296,Sativanorte,2014,0.917000
15296,Santa María,2015,0.917000
15296,Chiquinquirá,2016,0.917000
15296,Chitaraque,2017,0.917000
15296,Santa Rosa De Viterbo,2013,0.917900
15296,Santa Sofía,2013,0.917900
15296,Garagoa,2014,0.918000
15296,Chivatá,2015,0.918000
15296,Otanche,2017,0.918000
15296,Garagoa,2014,0.918500
15296,Sotaquirá,2015,0.919000
15296,Guateque,2016,0.919000
15296,Santa María,2017,0.919000
15296,Puerto Boyacá,2014,0.919900
15296,Puerto Boyacá,2014,0.920000
15296,Buenavista,2017,0.920000
15296,Ráquira,2013,0.920800
15296,Ráquira,2013,0.920800
15296,Sáchica,2017,0.921000
15296,Siachoque,2017,0.922000
15296,Monguí,2012,0.923000
15296,Sutatenza,2017,0.923000
15296,Toca,2017,0.923000
15296,Monguí,2012,0.923100
15296,Moniquirá,2015,0.925000
15296,Chiscas,2017,0.925000
15296,Gámeza,2012,0.925900
15296,Gámeza,2012,0.926000
15001,Tunja,2012,0.926000
15051,Arcabuco,2016,0.926000
15518,Pajarito,2016,0.926000
15001,Tunja,2012,0.926400
15368,Jericó,2016,0.929000
15097,Boavita,2017,0.931000
15790,Tasco,2017,0.931000
15660,San Eduardo,2015,0.933000
15646,Samacá,2016,0.933000
15180,Chiscas,2012,0.934000
15632,Saboyá,2013,0.934100
15632,Saboyá,2013,0.934100
15180,Chiscas,2012,0.934400
15646,Samacá,2013,0.934800
15646,Samacá,2013,0.934800
15455,Miraflores,2013,0.935000
15455,Miraflores,2013,0.935000
15814,Toca,2015,0.935000
15183,Chita,2017,0.935000
15753,Soatá,2017,0.936000
15236,Chivor,2012,0.939000
