geo,Municipio,Año,Rango edad,Cantidad
15816,Togüí,2019,Entre 1 y 2 años,751
15820,Tópaga,2019,Entre 1 y 2 años,249
15822,Tota,2019,Entre 1 y 2 años,2004
15832,Tununguá,2019,Entre 1 y 2 años,229
15835,Turmequé,2019,Entre 1 y 2 años,1883
15837,Tuta,2019,Entre 1 y 2 años,3711
15839,Tutazá,2019,Entre 1 y 2 años,1666
15842,Úmbita,2019,Entre 1 y 2 años,2143
15861,Ventaquemada,2019,Entre 1 y 2 años,3805
15879,Viracachá,2019,Entre 1 y 2 años,937
15897,Zetaquirá,2019,Entre 1 y 2 años,1941
15001,Tunja,2020,Entre 1 y 2 años,2562
15022,Almeida,2020,Entre 1 y 2 años,607
15047,Aquitania,2020,Entre 1 y 2 años,4682
15051,Arcabuco,2020,Entre 1 y 2 años,2561
15087,Belén,2020,Entre 1 y 2 años,2890
15090,Berbeo,2020,Entre 1 y 2 años,782
15092,Betéitiva,2020,Entre 1 y 2 años,805
15097,Boavita,2020,Entre 1 y 2 años,1956
15104,Boyacá,2020,Entre 1 y 2 años,1238
15106,Briceño,2020,Entre 1 y 2 años,684
15109,Buenavista,2020,Entre 1 y 2 años,1852
15114,Busbanzá,2020,Entre 1 y 2 años,306
15131,Caldas,2020,Entre 1 y 2 años,2164
15135,Campohermoso,2020,Entre 1 y 2 años,4380
15162,Cerinza,2020,Entre 1 y 2 años,1174
15172,Chinavita,2020,Entre 1 y 2 años,1561
15176,Chiquinquirá,2020,Entre 1 y 2 años,5706
15180,Chiscas,2020,Entre 1 y 2 años,2943
15183,Chita,2020,Entre 1 y 2 años,2741
15185,Chitaraque,2020,Entre 1 y 2 años,1132
15187,Chivatá,2020,Entre 1 y 2 años,818
15189,Ciénega,2020,Entre 1 y 2 años,1362
15204,Cómbita,2020,Entre 1 y 2 años,3177
15212,Coper,2020,Entre 1 y 2 años,1662
15215,Corrales,2020,Entre 1 y 2 años,314
15218,Covarachía,2020,Entre 1 y 2 años,457
15223,Cubará,2020,Entre 1 y 2 años,2457
15224,Cucaita,2020,Entre 1 y 2 años,972
15226,Cuítiva,2020,Entre 1 y 2 años,1016
15232,Chíquiza,2020,Entre 1 y 2 años,992
15236,Chivor,2020,Entre 1 y 2 años,879
15238,Duitama,2020,Entre 1 y 2 años,3052
15244,El Cocuy,2020,Entre 1 y 2 años,3206
15248,El Espino,2020,Entre 1 y 2 años,1695
15272,Firavitoba,2020,Entre 1 y 2 años,2324
15276,Floresta,2020,Entre 1 y 2 años,1682
15293,Gachantivá,2020,Entre 1 y 2 años,1094
15296,Gámeza,2020,Entre 1 y 2 años,1312
15299,Garagoa,2020,Entre 1 y 2 años,3489
15317,Guacamayas,2020,Entre 1 y 2 años,953
15322,Guateque,2020,Entre 1 y 2 años,941
15325,Guayatá,2020,Entre 1 y 2 años,1709
15332,Güicán,2020,Entre 1 y 2 años,2047
15362,Iza,2020,Entre 1 y 2 años,720
15367,Jenesano,2020,Entre 1 y 2 años,1448
15368,Jericó,2020,Entre 1 y 2 años,1029
15377,Labranzagrande,2020,Entre 1 y 2 años,3219
15380,La Capilla,2020,Entre 1 y 2 años,1246
15401,La Victoria,2020,Entre 1 y 2 años,676
15403,La Uvita,2020,Entre 1 y 2 años,2307
15407,Villa de Leiva,2020,Entre 1 y 2 años,1203
15425,Macanal,2020,Entre 1 y 2 años,2561
15442,Maripí,2020,Entre 1 y 2 años,1091
15455,Miraflores,2020,Entre 1 y 2 años,4726
15464,Mongua,2020,Entre 1 y 2 años,1867
15466,Monguí,2020,Entre 1 y 2 años,782
15469,Moniquirá,2020,Entre 1 y 2 años,3221
15476,Motavita,2020,Entre 1 y 2 años,1824
15480,Muzo,2020,Entre 1 y 2 años,1973
15491,Nobsa,2020,Entre 1 y 2 años,490
15494,Nuevo Colón,2020,Entre 1 y 2 años,911
15500,Oicatá,2020,Entre 1 y 2 años,1517
15507,Otanche,2020,Entre 1 y 2 años,4164
15511,Pachavita,2020,Entre 1 y 2 años,1318
15514,Páez,2020,Entre 1 y 2 años,4275
15516,Paipa,2020,Entre 1 y 2 años,5399
15518,Pajarito,2020,Entre 1 y 2 años,1771
15522,Panqueba,2020,Entre 1 y 2 años,840
