geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15185,Chitaraque,Cereales,Maíz Tradicional,2020,110.000000
15185,Chitaraque,Cereales,Maíz Tradicional,2020,110.000000
15187,Chivatá,Cereales,Avena,2020,55.000000
15187,Chivatá,Cereales,Avena,2020,25.000000
15187,Chivatá,Cereales,Cebada,2020,90.000000
15187,Chivatá,Cereales,Cebada,2020,20.000000
15187,Chivatá,Cereales,Maíz Tradicional,2020,35.000000
15187,Chivatá,Cereales,Quinua,2020,8.000000
15187,Chivatá,Cereales,Quinua,2020,1.000000
15187,Chivatá,Cereales,Trigo,2020,30.000000
15204,Cómbita,Cereales,Avena,2020,25.000000
15204,Cómbita,Cereales,Avena,2020,22.000000
15204,Cómbita,Cereales,Cebada,2020,12.000000
15204,Cómbita,Cereales,Cebada,2020,10.000000
15204,Cómbita,Cereales,Maíz Tradicional,2020,70.000000
15204,Cómbita,Cereales,Trigo,2020,12.000000
15204,Cómbita,Cereales,Trigo,2020,11.000000
15212,Coper,Cereales,Maíz Tradicional,2020,40.000000
15212,Coper,Cereales,Maíz Tradicional,2020,50.000000
15215,Corrales,Cereales,Maíz Tradicional,2020,15.500000
15215,Corrales,Cereales,Trigo,2020,0.500000
15218,Covarachía,Cereales,Maíz Tradicional,2020,40.000000
15218,Covarachía,Cereales,Maíz Tradicional,2020,120.000000
15223,Cubará,Cereales,Maíz Tradicional,2020,15.000000
15223,Cubará,Cereales,Maíz Tradicional,2020,10.000000
15224,Cucaita,Cereales,Avena,2020,6.000000
15224,Cucaita,Cereales,Avena,2020,10.000000
15224,Cucaita,Cereales,Cebada,2020,7.000000
15224,Cucaita,Cereales,Cebada,2020,30.000000
15224,Cucaita,Cereales,Maíz Tradicional,2020,5.000000
15224,Cucaita,Cereales,Maíz Tradicional,2020,13.000000
15232,Chíquiza,Cereales,Maíz Tradicional,2020,22.000000
15232,Chíquiza,Cereales,Maíz Tradicional,2020,20.000000
15236,Chivor,Cereales,Maíz Tradicional,2020,1.500000
15236,Chivor,Cereales,Maíz Tradicional,2020,5.000000
15238,Duitama,Cereales,Maíz Tradicional,2020,33.950000
15244,El Cocuy,Cereales,Cebada,2020,10.000000
15244,El Cocuy,Cereales,Cebada,2020,8.000000
15244,El Cocuy,Cereales,Maíz Tradicional,2020,10.000000
15244,El Cocuy,Cereales,Trigo,2020,20.000000
15244,El Cocuy,Cereales,Trigo,2020,8.000000
15248,El Espino,Cereales,Maíz Tradicional,2020,6.000000
15248,El Espino,Cereales,Maíz Tradicional,2020,2.000000
15248,El Espino,Cereales,Trigo,2020,5.000000
15248,El Espino,Cereales,Trigo,2020,2.000000
15272,Firavitoba,Cereales,Cebada,2020,28.000000
15272,Firavitoba,Cereales,Maíz Tradicional,2020,30.000000
