geo,Municipio,Desagregación cultivo,Año,Rendimiento
15332,Güicán,Cebolla De Bulbo,2020,11
15332,Güicán,Cebolla De Bulbo,2020,11
15362,Iza,Cebolla De Bulbo,2020,20
15362,Iza,Cebolla De Bulbo,2020,10
15367,Jenesano,Calabacín¬ Calabaza,2020,4
15367,Jenesano,Calabacín¬ Calabaza,2020,4
15367,Jenesano,Pepino Guiso,2020,4
15367,Jenesano,Pepino Guiso,2020,4
15367,Jenesano,Cilantro,2020,6
15367,Jenesano,Cilantro,2020,6
15367,Jenesano,Zanahoria,2020,20
15367,Jenesano,Zanahoria,2020,20
15368,Jericó,Tomate,2020,6
15368,Jericó,Tomate,2020,6
15368,Jericó,Cebolla De Bulbo,2020,20
15368,Jericó,Cebolla De Bulbo,2020,20
15380,La Capilla,Otras hortalizas,2020,2
15380,La Capilla,Pepino Cohombro,2020,12
15380,La Capilla,Pepino Guiso,2020,10
15380,La Capilla,Pimentón,2020,12
15380,La Capilla,Pimentón,2020,16
15380,La Capilla,Tomate,2020,23
