geo,Municipio,Año,Nivel,Tasa
15104,Boyacá,2015,Edu_Media,0.000000
15106,Briceño,2015,Edu_Media,0.000000
15109,Buenavista,2015,Edu_Media,0.000000
15114,Busbanzá,2015,Edu_Media,0.000000
15131,Caldas,2015,Edu_Media,0.000000
15135,Campohermoso,2015,Edu_Media,0.000000
15162,Cerinza,2015,Edu_Media,0.010000
15172,Chinavita,2015,Edu_Media,0.038000
15176,Chiquinquirá,2015,Edu_Media,0.003500
15180,Chiscas,2015,Edu_Media,0.000000
15183,Chita,2015,Edu_Media,0.011400
15185,Chitaraque,2015,Edu_Media,0.000000
15187,Chivatá,2015,Edu_Media,0.000000
15189,Ciénega,2015,Edu_Media,0.000000
15204,Cómbita,2015,Edu_Media,0.000000
15212,Coper,2015,Edu_Media,0.018200
15215,Corrales,2015,Edu_Media,0.000000
15218,Covarachía,2015,Edu_Media,0.000000
15223,Cubará,2015,Edu_Media,0.000000
15224,Cucaita,2015,Edu_Media,0.000000
15226,Cuítiva,2015,Edu_Media,0.000000
15232,Chíquiza,2015,Edu_Media,0.000000
15236,Chivor,2015,Edu_Media,0.012500
15238,Duitama,2015,Edu_Media,0.000000
15244,El Cocuy,2015,Edu_Media,0.007000
15248,El Espino,2015,Edu_Media,0.000000
15272,Firavitoba,2015,Edu_Media,0.007800
15276,Floresta,2015,Edu_Media,0.000000
15293,Gachantivá,2015,Edu_Media,0.000000
15296,Gameza,2015,Edu_Media,0.045900
15299,Garagoa,2015,Edu_Media,0.000000
15317,Guacamayas,2015,Edu_Media,0.000000
15322,Guateque,2015,Edu_Media,0.000000
15325,Guayatá,2015,Edu_Media,0.000000
15332,Güicán,2015,Edu_Media,0.000000
15362,Iza,2015,Edu_Media,0.000000
15367,Jenesano,2015,Edu_Media,0.000000
15368,Jericó,2015,Edu_Media,0.000000
15377,Labranzagrande,2015,Edu_Media,0.000000
15380,La Capilla,2015,Edu_Media,0.000000
15401,La Victoria,2015,Edu_Media,0.047600
15403,La Uvita,2015,Edu_Media,0.026000
15407,Villa de Leyva,2015,Edu_Media,0.007500
15425,Macanal,2015,Edu_Media,0.009400
15442,Maripí,2015,Edu_Media,0.000000
15455,Miraflores,2015,Edu_Media,0.009000
15464,Mongua,2015,Edu_Media,0.000000
15466,Monguí,2015,Edu_Media,0.006800
15469,Moniquirá,2015,Edu_Media,0.005600
