geo,Municipio,Cultivo,Año,Rendimiento
15676,San Miguel de Sema,Frijol,2020,1
15681,San Pablo de Borbur,Arveja,2020,1
15681,San Pablo de Borbur,Frijol,2020,0
15681,San Pablo de Borbur,Frijol,2020,0
15681,San Pablo de Borbur,Maní,2020,0
15681,San Pablo de Borbur,Maní,2020,0
15686,Santana,Frijol,2020,1
15686,Santana,Frijol,2020,1
15690,Santa María,Frijol,2020,1
15690,Santa María,Frijol,2020,1
15693,Santa Rosa de Viterbo,Arveja,2020,1
15693,Santa Rosa de Viterbo,Arveja,2020,1
15696,Santa Sofía,Arveja,2020,0
15720,Sativanorte,Arveja,2020,0
15720,Sativanorte,Arveja,2020,0
15720,Sativanorte,Frijol,2020,1
15720,Sativanorte,Frijol,2020,0
15720,Sativanorte,Haba,2020,0
15720,Sativanorte,Haba,2020,0
15723,Sativasur,Arveja,2020,0
15723,Sativasur,Arveja,2020,0
15723,Sativasur,Frijol,2020,1
15723,Sativasur,Frijol,2020,1
15723,Sativasur,Haba,2020,1
15740,Siachoque,Arveja,2020,1
15740,Siachoque,Arveja,2020,0
15740,Siachoque,Haba,2020,0
15740,Siachoque,Haba,2020,0
15753,Soatá,Arveja,2020,1
15753,Soatá,Arveja,2020,0
15753,Soatá,Frijol,2020,1
15753,Soatá,Frijol,2020,1
15755,Socotá,Arveja,2020,0
15755,Socotá,Arveja,2020,0
15755,Socotá,Frijol,2020,0
15755,Socotá,Frijol,2020,1
15757,Socha,Arveja,2020,0
15757,Socha,Arveja,2020,1
15757,Socha,Frijol,2020,0
15757,Socha,Frijol,2020,0
15759,Sogamoso,Arveja,2020,0
15759,Sogamoso,Arveja,2020,0
15759,Sogamoso,Frijol,2020,1
15759,Sogamoso,Frijol,2020,1
15759,Sogamoso,Haba,2020,1
15761,Somondoco,Frijol,2020,0
15761,Somondoco,Frijol,2020,1
15762,Sora,Arveja,2020,1
