Año,geo,Sexo,Casos
2019,15763,Mujer,2
2019,15806,Mujer,0
2019,15814,Mujer,2
2019,15822,Mujer,1
2019,15001,Mujer,237
2019,15861,Mujer,3
2019,15407,Mujer,0
2020,15022,Mujer,2
2020,15047,Mujer,1
2020,15087,Mujer,1
2020,15090,Mujer,0
2020,15162,Mujer,0
2020,15176,Mujer,21
2020,15185,Mujer,1
2020,15223,Mujer,1
2020,15238,Mujer,48
2020,15272,Mujer,2
2020,15299,Mujer,5
2020,15367,Mujer,0
2020,15368,Mujer,0
2020,15377,Mujer,4
2020,15455,Mujer,2
2020,15464,Mujer,1
2020,15476,Mujer,3
2020,15491,Mujer,3
2020,15494,Mujer,1
2020,15500,Mujer,1
2020,15507,Mujer,1
2020,15516,Mujer,8
2020,15542,Mujer,1
2020,15572,Mujer,13
2020,15646,Mujer,0
2020,15660,Mujer,0
2020,15667,Mujer,2
2020,15681,Mujer,3
2020,15686,Mujer,0
2020,15740,Mujer,1
2020,15757,Mujer,0
2020,15755,Mujer,6
2020,15759,Mujer,80
2020,15764,Mujer,10
2020,15763,Mujer,0
2020,15778,Mujer,2
2020,15814,Mujer,0
2020,15820,Mujer,2
2020,15001,Mujer,172
2020,15832,Mujer,2
2020,15837,Mujer,1
2020,15842,Mujer,1
2020,15407,Mujer,2
2020,15897,Mujer,1
2021,15047,Mujer,1
2021,15087,Mujer,3
2021,15176,Mujer,25
2021,15187,Mujer,1
2021,15204,Mujer,2
2021,15223,Mujer,1
2021,15224,Mujer,1
2021,15226,Mujer,2
2021,15238,Mujer,63
2021,15272,Mujer,3
2021,15299,Mujer,7
2021,15322,Mujer,1
2021,15455,Mujer,1
2021,15469,Mujer,4
2021,15491,Mujer,4
2021,15500,Mujer,1
2021,15507,Mujer,1
2021,15516,Mujer,17
2021,15531,Mujer,2
2021,15542,Mujer,1
2021,15572,Mujer,12
2021,15580,Mujer,1
2021,15599,Mujer,1
2021,15632,Mujer,2
2021,15646,Mujer,2
2021,15664,Mujer,0
2021,15693,Mujer,2
2021,15696,Mujer,1
2021,15720,Mujer,1
2021,15759,Mujer,71
2021,15764,Mujer,3
2021,15778,Mujer,0
2021,15790,Mujer,2
2021,15804,Mujer,1
2021,15814,Mujer,4
2021,15001,Mujer,131
2021,15832,Mujer,1
2021,15835,Mujer,1
2021,15839,Mujer,1
2021,15861,Mujer,2
2021,15407,Mujer,3
2021,15897,Mujer,1
