geo,Municipio,Cultivo,Año,Producción(tn)
15425,Macanal,Arracacha,2020,57
15425,Macanal,Papa todas las variedades,2020,143
15425,Macanal,Papa todas las variedades,2020,39
15425,Macanal,Yuca consumo en fresco,2020,160
15425,Macanal,Yuca consumo en fresco,2020,110
15442,Maripí,Papa todas las variedades,2020,200
15442,Maripí,Papa todas las variedades,2020,198
15442,Maripí,Yuca consumo en fresco,2020,4997
15455,Miraflores,Arracacha,2020,48
15455,Miraflores,Arracacha,2020,48
15455,Miraflores,Yuca consumo en fresco,2020,560
15455,Miraflores,Yuca consumo en fresco,2020,560
15464,Mongua,Papa todas las variedades,2020,1680
15464,Mongua,Papa todas las variedades,2020,504
15466,Monguí,Nabo,2020,100
15466,Monguí,Nabo,2020,50
15466,Monguí,Papa Criolla,2020,100
15466,Monguí,Papa Criolla,2020,50
15466,Monguí,Papa todas las variedades,2020,1000
15466,Monguí,Papa todas las variedades,2020,800
15469,Moniquirá,Yuca consumo en fresco,2020,3060
15469,Moniquirá,Yuca consumo en fresco,2020,1260
15476,Motavita,Papa Criolla,2020,28
15476,Motavita,Papa todas las variedades,2020,20700
15476,Motavita,Papa todas las variedades,2020,10810
15480,Muzo,Yuca consumo en fresco,2020,600
15480,Muzo,Yuca consumo en fresco,2020,600
15491,Nobsa,Papa todas las variedades,2020,960
15491,Nobsa,Papa todas las variedades,2020,1100
15494,Nuevo Colón,Arracacha,2020,357
15494,Nuevo Colón,Arracacha,2020,30
15494,Nuevo Colón,Papa todas las variedades,2020,2291
15494,Nuevo Colón,Papa todas las variedades,2020,2660
15500,Oicatá,Papa todas las variedades,2020,2075
15500,Oicatá,Papa todas las variedades,2020,2025
15507,Otanche,Yuca consumo en fresco,2020,675
15507,Otanche,Yuca consumo en fresco,2020,570
15511,Pachavita,Arracacha,2020,40
15511,Pachavita,Arracacha,2020,32
15511,Pachavita,Papa todas las variedades,2020,72
15511,Pachavita,Papa todas las variedades,2020,54
15511,Pachavita,Yuca consumo en fresco,2020,45
15511,Pachavita,Yuca consumo en fresco,2020,36
15514,Páez,Yuca consumo en fresco,2020,578
15514,Páez,Yuca consumo en fresco,2020,187
15516,Paipa,Papa todas las variedades,2020,600
15516,Paipa,Papa todas las variedades,2020,840
15518,Pajarito,Arracacha,2020,57
15518,Pajarito,Yuca consumo en fresco,2020,230
15522,Panqueba,Papa todas las variedades,2020,504
15522,Panqueba,Papa todas las variedades,2020,396
15531,Pauna,Papa Criolla,2020,70
15531,Pauna,Papa Criolla,2020,50
15531,Pauna,Papa todas las variedades,2020,250
15531,Pauna,Papa todas las variedades,2020,60
15531,Pauna,Yuca consumo en fresco,2020,300
15531,Pauna,Yuca consumo en fresco,2020,100
15533,Paya,Arracacha,2020,1
