geo,Municipio,Cultivo,Año,Producción(tn)
15778,Sutatenza,Arracacha,2019,5
15790,Tasco,Papa Criolla,2019,35
15790,Tasco,Papa Criolla,2019,30
15790,Tasco,Papa todas las variedades,2019,255
15790,Tasco,Papa todas las variedades,2019,255
15798,Tenza,Arracacha,2019,300
15804,Tibaná,Arracacha,2019,346
15804,Tibaná,Arracacha,2019,133
15804,Tibaná,Papa todas las variedades,2019,3740
15806,Tibasosa,Papa todas las variedades,2019,2100
15806,Tibasosa,Papa todas las variedades,2019,1200
15808,Tinjacá,Arracacha,2019,8
15808,Tinjacá,Arracacha,2019,8
15808,Tinjacá,Papa Criolla,2019,30
15808,Tinjacá,Papa Criolla,2019,24
15808,Tinjacá,Papa todas las variedades,2019,256
15808,Tinjacá,Papa todas las variedades,2019,85
15810,Tipacoque,Papa Criolla,2019,15
15810,Tipacoque,Papa todas las variedades,2019,10
15810,Tipacoque,Yuca consumo en fresco,2019,40
15810,Tipacoque,Yuca consumo en fresco,2019,10
15814,Toca,Papa todas las variedades,2019,18000
15814,Toca,Papa todas las variedades,2019,18000
15816,Togüí,Yuca consumo en fresco,2019,997
15816,Togüí,Yuca consumo en fresco,2019,665
15820,Tópaga,Papa todas las variedades,2019,948
15820,Tópaga,Papa todas las variedades,2019,300
15822,Tota,Papa todas las variedades,2019,7200
15822,Tota,Papa todas las variedades,2019,7800
15832,Tununguá,Yuca consumo en fresco,2019,480
15835,Turmequé,Arracacha,2019,180
15835,Turmequé,Papa todas las variedades,2019,4180
15835,Turmequé,Papa todas las variedades,2019,3520
15837,Tuta,Papa todas las variedades,2019,1700
15837,Tuta,Papa todas las variedades,2019,650
15839,Tutazá,Papa Criolla,2019,648
15839,Tutazá,Papa Criolla,2019,450
15839,Tutazá,Papa todas las variedades,2019,16032
15839,Tutazá,Papa todas las variedades,2019,16832
15842,Úmbita,Arracacha,2019,270
15842,Úmbita,Papa Criolla,2019,80
15842,Úmbita,Papa Criolla,2019,80
15842,Úmbita,Papa todas las variedades,2019,8200
15842,Úmbita,Papa todas las variedades,2019,12400
15861,Ventaquemada,Arracacha,2019,200
15861,Ventaquemada,Arracacha,2019,100
15861,Ventaquemada,Papa Criolla,2019,2860
15861,Ventaquemada,Papa Criolla,2019,1440
15861,Ventaquemada,Papa todas las variedades,2019,45000
15861,Ventaquemada,Papa todas las variedades,2019,57000
15879,Viracachá,Arracacha,2019,153
15879,Viracachá,Papa Criolla,2019,306
15879,Viracachá,Papa Criolla,2019,332
15879,Viracachá,Papa todas las variedades,2019,4309
15879,Viracachá,Papa todas las variedades,2019,5591
15001,Tunja,Arracacha,2020,3750
15001,Tunja,Papa Criolla,2020,3000
15001,Tunja,Papa Criolla,2020,3000
15001,Tunja,Papa todas las variedades,2020,56000
15001,Tunja,Papa todas las variedades,2020,40000
15022,Almeida,Arracacha,2020,6
15022,Almeida,Arracacha,2020,4
15022,Almeida,Papa Criolla,2020,7
15022,Almeida,Papa todas las variedades,2020,28
15022,Almeida,Yuca consumo en fresco,2020,50
15022,Almeida,Yuca consumo en fresco,2020,20
15047,Aquitania,Papa Criolla,2020,140
15047,Aquitania,Papa Criolla,2020,150
15047,Aquitania,Papa todas las variedades,2020,1740
15047,Aquitania,Papa todas las variedades,2020,1500
15051,Arcabuco,Papa todas las variedades,2020,22860
15051,Arcabuco,Papa todas las variedades,2020,23040
15087,Belén,Papa Criolla,2020,519
15087,Belén,Papa Criolla,2020,546
15087,Belén,Papa todas las variedades,2020,5670
15087,Belén,Papa todas las variedades,2020,5678
15090,Berbeo,Yuca consumo en fresco,2020,72
15090,Berbeo,Yuca consumo en fresco,2020,30
