geo,Municipio,Año,Puntaje
15822,TOTA,2019,59.652892
15832,TUNUNGUA,2019,42.120119
15835,TURMEQUE,2019,59.281664
15837,TUTA,2019,66.007688
15839,TUTASA,2019,54.475356
15842,UMBITA,2019,56.576670
15861,VENTAQUEMADA,2019,50.307806
15879,VIRACACHA,2019,57.871145
15897,ZETAQUIRA,2019,63.731368
15001,TUNJA,2020,71.599693
15022,ALMEIDA,2020,56.624619
15047,AQUITANIA,2020,52.477680
15051,ARCABUCO,2020,51.064003
15087,BELEN,2020,52.291893
15090,BERBEO,2020,54.509563
15092,BETEITIVA,2020,44.721016
15097,BOAVITA,2020,48.977966
15104,BOYACA,2020,45.606121
15106,BRICEÐO,2020,54.210972
15109,BUENAVISTA,2020,38.049408
15114,BUSBANZA,2020,59.720131
15131,CALDAS,2020,39.187408
15135,CAMPOHERMOSO,2020,60.360622
15162,CERINZA,2020,47.650101
15172,CHINAVITA,2020,49.216965
15176,CHIQUINQUIRA,2020,60.399063
15180,CHISCAS,2020,47.118423
15183,CHITA,2020,56.679249
15185,CHITARAQUE,2020,43.273315
15187,CHIVATA,2020,62.014198
15189,CIENAGA,2020,55.660336
15204,COMBITA,2020,50.010670
15212,COPER,2020,43.842789
15215,CORRALES,2020,54.520966
15218,COVARACHIA,2020,41.161495
15223,CUBARA,2020,50.149342
15224,CUCAITA,2020,51.519459
15226,CUITIVA,2020,56.271275
15232,CHIQUIZA,2020,51.301723
15236,CHIVOR,2020,52.525738
15238,DUITAMA,2020,61.725060
15244,EL COCUY,2020,57.016998
15248,EL ESPINO,2020,43.477676
15272,FIRAVITOBA,2020,47.353691
15276,FLORESTA,2020,34.902538
15293,GACHANTIVA,2020,56.597054
15296,GAMEZA,2020,41.159477
15299,GARAGOA,2020,56.614929
15317,GUACAMAYAS,2020,48.584103
15322,GUATEQUE,2020,60.943516
15325,GUAYATA,2020,50.698906
15332,GUICAN,2020,48.021313
15362,IZA,2020,61.536758
15367,JENESANO,2020,64.667274
15368,JERICO,2020,45.264874
15377,LABRANZAGRANDE,2020,39.719894
15380,LA CAPILLA,2020,54.069687
15401,LA VICTORIA,2020,50.347652
15403,LA UVITA,2020,52.086758
15407,VILLA DE LEYVA,2020,65.192169
15425,MACANAL,2020,63.890762
15442,MARIPI,2020,43.865059
15455,MIRAFLORES,2020,59.346985
15464,MONGUA,2020,47.760193
15466,MONGUI,2020,56.213017
15469,MONIQUIRA,2020,50.098640
15476,MOTAVITA,2020,48.019447
15480,MUZO,2020,49.864315
15491,NOBSA,2020,49.871758
15494,NUEVO COLON,2020,58.143055
15500,OICATA,2020,50.280666
15507,OTANCHE,2020,57.073547
15511,PACHAVITA,2020,56.520706
15514,PAEZ,2020,47.318859
15516,PAIPA,2020,64.637955
15518,PAJARITO,2020,42.743183
15522,PANQUEBA,2020,51.350956
15531,PAUNA,2020,52.710690
15533,PAYA,2020,47.441750
15537,PAZ DE RIO,2020,45.972942
15542,PESCA,2020,50.309746
15550,PISVA,2020,48.626572
15572,PUERTO BOYACA,2020,64.159523
15580,QUIPAMA,2020,43.553040
15599,RAMIRIQUI,2020,66.005569
15600,RAQUIRA,2020,57.209618
15621,RONDON,2020,35.559586
15632,SABOYA,2020,47.247223
15638,SACHICA,2020,56.238228
15646,SAMACA,2020,66.819603
15660,SAN EDUARDO,2020,55.981544
15664,SAN JOSE DE PARE,2020,46.780704
15667,SAN LUIS DE GACENO,2020,54.427807
15673,SAN MATEO,2020,52.149734
15676,SAN MIGUEL DE SEMA,2020,64.133316
15681,SAN PABLO DE BORBUR,2020,44.896614
15686,SANTANA,2020,49.111210
15690,SANTA MARIA,2020,58.653381
15693,SANTA ROSA DE VITERB,2020,63.537331
15696,SANTA SOFIA,2020,54.697109
15720,SATIVANORTE,2020,42.797405
15723,SATIVASUR,2020,50.773201
15740,SIACHOQUE,2020,55.278393
15753,SOATA,2020,51.909599
15755,SOCOTA,2020,53.247753
15757,SOCHA,2020,55.632015
15759,SOGAMOSO,2020,65.745735
15761,SOMONDOCO,2020,58.886963
15762,SORA,2020,45.990810
15763,SOTAQUIRA,2020,48.350288
15764,SORACA,2020,56.645096
15774,SUSACON,2020,34.554573
15776,SUTAMARCHAN,2020,60.671543
15778,SUTATENZA,2020,51.188427
15790,TASCO,2020,52.449463
15798,TENZA,2020,55.638306
15804,TIBANA,2020,54.098862
15806,TIBASOSA,2020,67.645401
15808,TINJACA,2020,54.111832
15810,TIPACOQUE,2020,43.407726
15814,TOCA,2020,43.473228
15816,TOGUI,2020,41.165272
15820,TOPAGA,2020,52.548370
15822,TOTA,2020,52.863831
15832,TUNUNGUA,2020,46.639923
15835,TURMEQUE,2020,48.549835
15837,TUTA,2020,65.345963
15839,TUTASA,2020,45.689098
15842,UMBITA,2020,56.261333
15861,VENTAQUEMADA,2020,51.722790
15879,VIRACACHA,2020,55.405449
15897,ZETAQUIRA,2020,51.200226
