Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15842,Úmbita,2016,0.591000
Cobertura bruta de educación (media),15861,Ventaquemada,2016,0.742000
Cobertura bruta de educación (media),15407,Villa De Leyva,2016,0.794000
Cobertura bruta de educación (media),15879,Viracachá,2016,0.656000
Cobertura bruta de educación (media),15897,Zetaquira,2016,1.232000
Cobertura bruta de educación (media),15022,Almeida,2017,0.944000
Cobertura bruta de educación (media),15047,Aquitania,2017,0.773000
Cobertura bruta de educación (media),15051,Arcabuco,2017,1.299000
Cobertura bruta de educación (media),15087,Belén,2017,1.319000
Cobertura bruta de educación (media),15090,Berbeo,2017,0.552000
Cobertura bruta de educación (media),15092,Betéitiva,2017,0.794000
Cobertura bruta de educación (media),15097,Boavita,2017,1.000000
Cobertura bruta de educación (media),15104,Boyacá,2017,0.710000
Cobertura bruta de educación (media),15106,Briceño,2017,0.671000
Cobertura bruta de educación (media),15109,Buenavista,2017,0.750000
Cobertura bruta de educación (media),15114,Busbanzá,2017,0.632000
Cobertura bruta de educación (media),15131,Caldas,2017,0.875000
Cobertura bruta de educación (media),15135,Campohermoso,2017,0.513000
Cobertura bruta de educación (media),15162,Cerinza,2017,1.035000
Cobertura bruta de educación (media),15172,Chinavita,2017,0.821000
Cobertura bruta de educación (media),15176,Chiquinquirá,2017,0.868000
Cobertura bruta de educación (media),15232,Chíquiza,2017,0.514000
Cobertura bruta de educación (media),15180,Chiscas,2017,0.801000
Cobertura bruta de educación (media),15183,Chita,2017,1.042000
Cobertura bruta de educación (media),15185,Chitaraque,2017,0.641000
Cobertura bruta de educación (media),15187,Chivatá,2017,0.328000
Cobertura bruta de educación (media),15236,Chivor,2017,1.292000
Cobertura bruta de educación (media),15189,Ciénega,2017,1.122000
Cobertura bruta de educación (media),15204,Cómbita,2017,0.841000
Cobertura bruta de educación (media),15212,Coper,2017,0.833000
Cobertura bruta de educación (media),15215,Corrales,2017,1.132000
Cobertura bruta de educación (media),15218,Covarachía,2017,0.778000
Cobertura bruta de educación (media),15223,Cubará,2017,0.533000
Cobertura bruta de educación (media),15224,Cucaita,2017,0.730000
Cobertura bruta de educación (media),15226,Cuítiva,2017,0.716000
Cobertura bruta de educación (media),15244,El Cocuy,2017,0.674000
Cobertura bruta de educación (media),15248,El Espino,2017,0.878000
Cobertura bruta de educación (media),15272,Firavitoba,2017,0.838000
Cobertura bruta de educación (media),15276,Floresta,2017,0.851000
Cobertura bruta de educación (media),15293,Gachantivá,2017,1.438000
Cobertura bruta de educación (media),15296,Gámeza,2017,0.713000
Cobertura bruta de educación (media),15299,Garagoa,2017,0.778000
Cobertura bruta de educación (media),15317,Guacamayas,2017,1.100000
Cobertura bruta de educación (media),15322,Guateque,2017,1.222000
Cobertura bruta de educación (media),15325,Guayatá,2017,0.615000
Cobertura bruta de educación (media),15325,Guicán,2017,0.459000
Cobertura bruta de educación (media),15362,Iza,2017,0.385000
Cobertura bruta de educación (media),15367,Jenesano,2017,0.700000
Cobertura bruta de educación (media),15368,Jericó,2017,0.525000
Cobertura bruta de educación (media),15380,La Capilla,2017,0.986000
Cobertura bruta de educación (media),15403,La Uvita,2017,1.135000
Cobertura bruta de educación (media),15401,La Victoria,2017,0.475000
Cobertura bruta de educación (media),15377,Labranzagrande,2017,0.529000
Cobertura bruta de educación (media),15425,Macanal,2017,0.679000
Cobertura bruta de educación (media),15442,Maripí,2017,0.759000
