Año,geo,Municipio,Porcentaje,Categoria
2018,15322,GUATEQUE,0.009422,Centros poblados y rural disperso
2018,15325,GUAYATÁ,0.018234,Centros poblados y rural disperso
2018,15332,GÜICÁN,0.314307,Centros poblados y rural disperso
2018,15362,IZA,0.019108,Centros poblados y rural disperso
2018,15367,JENESANO,0.017085,Centros poblados y rural disperso
2018,15368,JERICÓ,0.134013,Centros poblados y rural disperso
2018,15377,LABRANZAGRANDE,0.210895,Centros poblados y rural disperso
2018,15380,LA CAPILLA,0.000733,Centros poblados y rural disperso
2018,15401,LA VICTORIA,0.023885,Centros poblados y rural disperso
2018,15403,LA UVITA,0.041613,Centros poblados y rural disperso
2018,15407,VILLA DE LEYVA,0.009669,Centros poblados y rural disperso
2018,15425,MACANAL,0.010260,Centros poblados y rural disperso
2018,15442,MARIPÍ,0.079089,Centros poblados y rural disperso
2018,15455,MIRAFLORES,0.004835,Centros poblados y rural disperso
2018,15464,MONGUA,0.077556,Centros poblados y rural disperso
2018,15466,MONGUÍ,0.017219,Centros poblados y rural disperso
2018,15469,MONIQUIRÁ,0.015557,Centros poblados y rural disperso
2018,15476,MOTAVITA,0.025493,Centros poblados y rural disperso
2018,15480,MUZO,0.065855,Centros poblados y rural disperso
2018,15491,NOBSA,0.001338,Centros poblados y rural disperso
2018,15494,NUEVO COLÓN,0.012392,Centros poblados y rural disperso
2018,15500,OICATÁ,0.004589,Centros poblados y rural disperso
2018,15507,OTANCHE,0.128571,Centros poblados y rural disperso
2018,15511,PACHAVITA,0.010753,Centros poblados y rural disperso
2018,15514,PÁEZ,0.020846,Centros poblados y rural disperso
2018,15516,PAIPA,0.005181,Centros poblados y rural disperso
2018,15518,PAJARITO,0.015717,Centros poblados y rural disperso
2018,15522,PANQUEBA,0.066745,Centros poblados y rural disperso
2018,15531,PAUNA,0.071197,Centros poblados y rural disperso
2018,15533,PAYA,0.401112,Centros poblados y rural disperso
2018,15537,PAZ DE RÍO,0.008553,Centros poblados y rural disperso
2018,15542,PESCA,0.022941,Centros poblados y rural disperso
2018,15550,PISBA,0.142992,Centros poblados y rural disperso
2018,15572,PUERTO BOYACÁ,0.055062,Centros poblados y rural disperso
2018,15580,QUÍPAMA,0.120713,Centros poblados y rural disperso
2018,15599,RAMIRIQUÍ,0.020341,Centros poblados y rural disperso
2018,15600,RÁQUIRA,0.020051,Centros poblados y rural disperso
2018,15621,RONDÓN,0.014050,Centros poblados y rural disperso
2018,15632,SABOYÁ,0.013310,Centros poblados y rural disperso
2018,15638,SÁCHICA,0.006745,Centros poblados y rural disperso
2018,15646,SAMACÁ,0.004271,Centros poblados y rural disperso
2018,15660,SAN EDUARDO,0.035108,Centros poblados y rural disperso
2018,15664,SAN JOSÉ DE PARE,0.017780,Centros poblados y rural disperso
2018,15667,SAN LUIS DE GACENO,0.037391,Centros poblados y rural disperso
2018,15673,SAN MATEO,0.050840,Centros poblados y rural disperso
2018,15676,SAN MIGUEL DE SEMA,0.012034,Centros poblados y rural disperso
2018,15681,SAN PABLO DE BORBUR,0.045667,Centros poblados y rural disperso
2018,15686,SANTANA,0.037371,Centros poblados y rural disperso
2018,15690,SANTA MARÍA,0.032086,Centros poblados y rural disperso
2018,15693,SANTA ROSA DE VITERBO,0.009372,Centros poblados y rural disperso
2018,15696,SANTA SOFÍA,0.006701,Centros poblados y rural disperso
2018,15720,SATIVANORTE,0.072981,Centros poblados y rural disperso
2018,15723,SATIVASUR,0.011968,Centros poblados y rural disperso
2018,15740,SIACHOQUE,0.031628,Centros poblados y rural disperso
2018,15753,SOATÁ,0.020382,Centros poblados y rural disperso
2018,15755,SOCOTÁ,0.082698,Centros poblados y rural disperso
2018,15757,SOCHA,0.013130,Centros poblados y rural disperso
2018,15759,SOGAMOSO,0.005453,Centros poblados y rural disperso
2018,15761,SOMONDOCO,0.009055,Centros poblados y rural disperso
2018,15762,SORA,0.017849,Centros poblados y rural disperso
2018,15763,SOTAQUIRÁ,0.032996,Centros poblados y rural disperso
2018,15764,SORACÁ,0.005626,Centros poblados y rural disperso
2018,15774,SUSACÓN,0.033907,Centros poblados y rural disperso
2018,15776,SUTAMARCHÁN,0.012255,Centros poblados y rural disperso
2018,15778,SUTATENZA,0.018072,Centros poblados y rural disperso
2018,15790,TASCO,0.018043,Centros poblados y rural disperso
2018,15798,TENZA,0.012185,Centros poblados y rural disperso
2018,15804,TIBANÁ,0.014764,Centros poblados y rural disperso
2018,15806,TIBASOSA,0.004095,Centros poblados y rural disperso
2018,15808,TINJACÁ,0.008870,Centros poblados y rural disperso
2018,15810,TIPACOQUE,0.059216,Centros poblados y rural disperso
2018,15814,TOCA,0.008885,Centros poblados y rural disperso
2018,15816,TOGÜÍ,0.044236,Centros poblados y rural disperso
