geo,Municipio,Año,Porcentaje,Tipo
15522,Panqueba,2019,9.664000,Permanente
15518,Pajarito,2019,87.292278,Permanente
15693,Santa Rosa de Viterbo,2019,0.302556,Permanente
15820,Tópaga,2019,0.000000,Permanente
15172,Chinavita,2019,85.127186,Permanente
15215,Corrales,2019,6.931052,Permanente
15464,Mongua,2019,2.259312,Permanente
15466,Monguí,2019,3.234667,Permanente
15810,Tipacoque,2019,43.601537,Permanente
15621,Rondón,2019,72.988771,Permanente
15090,Berbeo,2019,64.482831,Permanente
15667,San Luis de Gaceno,2019,11.925709,Permanente
15720,Sativanorte,2019,20.318967,Permanente
15299,Garagoa,2019,68.880823,Permanente
15317,Guacamayas,2019,48.994913,Permanente
15690,Santa María,2019,69.226562,Permanente
15676,San Miguel de Sema,2019,13.022650,Permanente
15778,Sutatenza,2019,33.732790,Permanente
15092,Betéitiva,2019,2.156138,Permanente
15761,Somondoco,2019,48.155352,Permanente
15248,El Espino,2019,10.670223,Permanente
15757,Socha,2019,7.509669,Permanente
15403,La Uvita,2019,19.793366,Permanente
15533,Paya,2019,91.319654,Permanente
15223,Cubará,2019,72.460705,Permanente
15332,GÜICÁN DE LA SIERRA,2019,0.000000,Permanente
15162,Cerinza,2019,9.562956,Permanente
15401,La Victoria,2019,78.643196,Permanente
15790,Tasco,2019,5.889571,Permanente
15322,Guateque,2019,8.412341,Permanente
15550,Pisba,2019,81.451613,Permanente
15537,Paz de Río,2019,3.409091,Permanente
15362,Iza,2019,9.090909,Permanente
15276,Floresta,2019,2.490492,Permanente
15723,Sativasur,2019,0.000000,Permanente
