geo,Municipio,Porcentaje,Año
15720,Sativanorte,44.27,2021
15720,Sativanorte,42.35,2022
15720,Sativanorte,100,2025
15723,Sativasur,90.16,2020
15723,Sativasur,90.16,2021
15723,Sativasur,90.16,2022
15723,Sativasur,91.05,2023
15723,Sativasur,91.05,2024
15723,Sativasur,91.05,2025
15740,Siachoque,100,2020
15740,Siachoque,100,2021
15740,Siachoque,100,2022
15740,Siachoque,100,2023
15740,Siachoque,100,2024
15740,Siachoque,100,2025
15753,Soatá,19.18,2021
15753,Soatá,19.17,2022
15753,Soatá,38.9,2023
15753,Soatá,72.55,2024
15753,Soatá,72.89,2025
15755,Socotá,100,2020
15755,Socotá,100,2021
15755,Socotá,0.21,2022
15755,Socotá,71.12,2023
15755,Socotá,100,2024
15755,Socotá,100,2025
15757,Socha,97.9,2020
15757,Socha,100,2021
15757,Socha,100,2022
15757,Socha,65.9,2023
15757,Socha,65.9,2024
15757,Socha,77.42,2025
15759,Sogamoso,53.33,2020
15759,Sogamoso,66.96,2021
15759,Sogamoso,64.6,2022
15759,Sogamoso,20.27,2023
15759,Sogamoso,70.67,2024
15759,Sogamoso,34.16,2025
15761,Somondoco,4.57,2020
15761,Somondoco,0,2021
15761,Somondoco,24.83,2022
15761,Somondoco,24.83,2023
15761,Somondoco,24.72,2024
15761,Somondoco,24.72,2025
15762,Sora,32.08,2020
15762,Sora,32.51,2021
15762,Sora,32.18,2022
15762,Sora,37.33,2023
15762,Sora,32.97,2024
15762,Sora,32.97,2025
15763,Sotaquirá,49.11,2020
15763,Sotaquirá,17.52,2021
15763,Sotaquirá,17.52,2022
15763,Sotaquirá,17.52,2023
15763,Sotaquirá,46.79,2024
15763,Sotaquirá,45.88,2025
15764,Soracá,0.05,2020
15764,Soracá,0.05,2021
15764,Soracá,0.05,2022
15764,Soracá,0.07,2023
15764,Soracá,1.54,2024
15764,Soracá,92.88,2025
15774,Susacón,0,2020
15774,Susacón,0,2021
15774,Susacón,15.68,2022
15774,Susacón,80.49,2023
15774,Susacón,80.49,2024
15774,Susacón,80.49,2025
15776,Sutamarchàn,12.17,2020
15776,Sutamarchàn,12.17,2021
15776,Sutamarchàn,51.74,2022
15776,Sutamarchàn,51.74,2023
15776,Sutamarchàn,51.74,2024
15776,Sutamarchàn,51.74,2025
15778,Sutatenza,90.99,2021
15778,Sutatenza,91.04,2022
15778,Sutatenza,91.04,2023
15778,Sutatenza,91.04,2024
15778,Sutatenza,91.04,2025
15790,Tasco,8.53,2020
15790,Tasco,23.35,2021
15790,Tasco,100,2022
15790,Tasco,0,2023
15790,Tasco,100,2024
15798,Tenza,23.02,2020
