geo,Municipio,Año,Puntaje en resultados
15632,SABOYA,2020,69.528961
15638,SACHICA,2020,69.281471
15646,SAMACA,2020,74.444778
15660,SAN EDUARDO,2020,74.300491
15664,SAN JOSE DE PARE,2020,68.384155
15667,SAN LUIS DE GACENO,2020,68.995621
15673,SAN MATEO,2020,72.085922
15676,SAN MIGUEL DE SEMA,2020,77.820938
15681,SAN PABLO DE BORBUR,2020,68.709991
15686,SANTANA,2020,71.958313
15690,SANTA MARIA,2020,72.196342
15693,SANTA ROSA DE VITERB,2020,70.976242
15696,SANTA SOFIA,2020,68.331474
15720,SATIVANORTE,2020,70.559616
15723,SATIVASUR,2020,69.729828
15740,SIACHOQUE,2020,75.045563
15753,SOATA,2020,73.806534
15755,SOCOTA,2020,72.608635
15757,SOCHA,2020,75.646683
15759,SOGAMOSO,2020,76.326950
15761,SOMONDOCO,2020,71.584915
15762,SORA,2020,70.203896
15763,SOTAQUIRA,2020,67.640175
15764,SORACA,2020,70.065018
15774,SUSACON,2020,65.819611
15776,SUTAMARCHAN,2020,68.898804
15778,SUTATENZA,2020,68.569061
15790,TASCO,2020,67.805664
15798,TENZA,2020,71.538101
15804,TIBANA,2020,69.470459
15806,TIBASOSA,2020,69.696106
15808,TINJACA,2020,67.113808
15810,TIPACOQUE,2020,73.151047
15814,TOCA,2020,76.493790
15816,TOGUI,2020,72.063583
15820,TOPAGA,2020,67.128616
15822,TOTA,2020,72.135956
15832,TUNUNGUA,2020,69.375038
15835,TURMEQUE,2020,76.346313
15837,TUTA,2020,73.241264
15839,TUTASA,2020,70.029747
15842,UMBITA,2020,71.352348
15861,VENTAQUEMADA,2020,67.149048
15879,VIRACACHA,2020,62.779701
15897,ZETAQUIRA,2020,72.036781
