geo,Municipio,Toneladas,Año
15667,San Luis De Gaceno,1.34,2020
15667,San Luis De Gaceno,1.42,2021
15667,San Luis De Gaceno,1.21,2022
15667,San Luis De Gaceno,1.11,2023
15667,San Luis De Gaceno,1.23,2024
15673,San Mateo,0.3,2020
15673,San Mateo,0.34,2021
15673,San Mateo,0.55,2022
15673,San Mateo,0.34,2023
15673,San Mateo,0.29,2024
15676,San Miguel De Sema,0.39,2020
15676,San Miguel De Sema,0.4,2021
15676,San Miguel De Sema,0.38,2022
15676,San Miguel De Sema,0.39,2023
15676,San Miguel De Sema,0.39,2024
15681,San Pablo De Borbur,1.11,2020
15681,San Pablo De Borbur,1.06,2021
15681,San Pablo De Borbur,3.26,2022
15681,San Pablo De Borbur,1.36,2023
15681,San Pablo De Borbur,1.36,2024
15686,Santana,1.6,2020
15686,Santana,1.78,2021
15686,Santana,1.67,2022
15686,Santana,1.61,2023
15686,Santana,1.65,2024
15690,Santa María,0.87,2020
15690,Santa María,0.94,2021
15690,Santa María,2.74,2022
15690,Santa María,0.91,2023
15690,Santa María,0.89,2024
15693,Santa Rosa De Viterbo,2.35,2020
15693,Santa Rosa De Viterbo,2.62,2021
15693,Santa Rosa De Viterbo,4.61,2022
15693,Santa Rosa De Viterbo,2.86,2023
15693,Santa Rosa De Viterbo,2.94,2024
15696,Santa Sofía,0.57,2020
15696,Santa Sofía,0.68,2021
15696,Santa Sofía,0.74,2022
15696,Santa Sofía,0.81,2023
15696,Santa Sofía,0.86,2024
15720,Sativanorte,0.24,2020
15720,Sativanorte,0.15,2021
15720,Sativanorte,0.24,2022
15720,Sativanorte,0.17,2023
15720,Sativanorte,0.17,2024
15723,Sativasur,0.1,2020
15723,Sativasur,0.08,2021
15723,Sativasur,0.19,2022
15723,Sativasur,0.13,2023
15723,Sativasur,0.13,2024
15740,Siachoque,0.49,2020
15740,Siachoque,0.56,2021
15740,Siachoque,0.49,2022
15740,Siachoque,0.52,2023
15740,Siachoque,0.55,2024
15753,Soatá,3.23,2020
15753,Soatá,3.59,2021
15753,Soatá,5.28,2022
15753,Soatá,3.12,2023
15753,Soatá,3.22,2024
15755,Socotá,0.31,2020
15755,Socotá,0.38,2021
15755,Socotá,0.5,2022
15755,Socotá,0.51,2023
15755,Socotá,0.54,2024
15757,Socha,0.83,2020
15757,Socha,0.92,2021
15757,Socha,1.85,2022
15757,Socha,1.26,2023
15757,Socha,1.27,2024
15759,Sogamoso,77.3,2020
15759,Sogamoso,79.08,2021
15759,Sogamoso,91.43,2022
15759,Sogamoso,70.71,2023
15759,Sogamoso,70.45,2024
15761,Somondoco,0.33,2020
15761,Somondoco,0.37,2021
15761,Somondoco,0.37,2022
15761,Somondoco,0.38,2023
15761,Somondoco,0.35,2024
15762,Sora,0.18,2020
15762,Sora,0.19,2021
15762,Sora,0.22,2022
15762,Sora,0.24,2023
15762,Sora,0.24,2024
15763,Sotaquirá,0.79,2020
15763,Sotaquirá,1.01,2021
15763,Sotaquirá,1.07,2022
15763,Sotaquirá,1.11,2023
15763,Sotaquirá,1.18,2024
15764,Soracá,0.65,2020
15764,Soracá,0.82,2021
15764,Soracá,0.78,2022
15764,Soracá,0.88,2023
15764,Soracá,0.97,2024
15774,Susacón,0.21,2020
15774,Susacón,0.2,2021
15774,Susacón,0.22,2022
15774,Susacón,0.27,2023
15774,Susacón,0.25,2024
15776,Sutamarchàn,1.85,2020
15776,Sutamarchàn,2.08,2021
15776,Sutamarchàn,1.9,2022
15776,Sutamarchàn,1.97,2023
15776,Sutamarchàn,1.97,2024
15778,Sutatenza,0.16,2020
15778,Sutatenza,0.16,2021
15778,Sutatenza,0.18,2022
15778,Sutatenza,0.22,2023
