Año,geo,Zona,Grado,Número
2018,15104,Rural,Quinto,67
2018,15104,Rural,Segundo,39
2018,15104,Rural,Septimo,29
2018,15104,Rural,Sexto,28
2018,15104,Rural,Tercero,67
2018,15104,Rural,Transición,25
2018,15104,Urbana,Cuarto,25
2018,15104,Urbana,Decimo,41
2018,15104,Urbana,Noveno,40
2018,15104,Urbana,Octavo,43
2018,15104,Urbana,Once,31
2018,15104,Urbana,Primero,22
2018,15104,Urbana,Quinto,35
2018,15104,Urbana,Segundo,18
2018,15104,Urbana,Septimo,47
2018,15104,Urbana,Sexto,52
2018,15104,Urbana,Tercero,20
2018,15104,Urbana,Transición,19
2018,15106,Rural,Cuarto,19
2018,15106,Rural,Primero,18
2018,15106,Rural,Quinto,25
2018,15106,Rural,Segundo,11
2018,15106,Rural,Tercero,28
2018,15106,Rural,Transición,16
2018,15106,Urbana,Cuarto,16
2018,15106,Urbana,Decimo,25
2018,15106,Urbana,Noveno,35
2018,15106,Urbana,Octavo,34
2018,15106,Urbana,Once,32
2018,15106,Urbana,Primero,15
2018,15106,Urbana,Quinto,16
2018,15106,Urbana,Segundo,7
2018,15106,Urbana,Septimo,34
2018,15106,Urbana,Sexto,47
2018,15106,Urbana,Tercero,14
2018,15106,Urbana,Transición,16
2018,15109,Rural,Cuarto,47
2018,15109,Rural,Decimo,13
2018,15109,Rural,Noveno,17
2018,15109,Rural,Octavo,11
2018,15109,Rural,Once,17
2018,15109,Rural,Primero,48
2018,15109,Rural,Quinto,67
2018,15109,Rural,Segundo,50
2018,15109,Rural,Septimo,21
2018,15109,Rural,Sexto,20
2018,15109,Rural,Tercero,53
2018,15109,Rural,Transición,51
2018,15109,Urbana,Ciclo 2 Adultos,2
2018,15109,Urbana,Ciclo 3 Adultos,11
2018,15109,Urbana,Ciclo 4 Adultos,14
2018,15109,Urbana,Ciclo 5 Adultos,8
2018,15109,Urbana,Ciclo 6 Adultos,3
2018,15109,Urbana,Cuarto,14
2018,15109,Urbana,Decimo,75
2018,15109,Urbana,Noveno,59
2018,15109,Urbana,Octavo,68
2018,15109,Urbana,Once,60
2018,15109,Urbana,Primero,12
2018,15109,Urbana,Quinto,14
2018,15109,Urbana,Segundo,15
2018,15109,Urbana,Septimo,77
2018,15109,Urbana,Sexto,71
2018,15109,Urbana,Tercero,19
2018,15109,Urbana,Transición,10
2018,15114,Rural,Cuarto,1
2018,15114,Rural,Primero,2
2018,15114,Rural,Quinto,2
2018,15114,Rural,Tercero,1
2018,15114,Rural,Transición,1
2018,15114,Urbana,Cuarto,7
2018,15114,Urbana,Decimo,8
2018,15114,Urbana,Noveno,4
2018,15114,Urbana,Octavo,11
2018,15114,Urbana,Once,6
2018,15114,Urbana,Primero,6
2018,15114,Urbana,Quinto,8
2018,15114,Urbana,Segundo,10
2018,15114,Urbana,Septimo,11
2018,15114,Urbana,Sexto,10
2018,15114,Urbana,Tercero,10
2018,15114,Urbana,Transición,11
2018,15131,Rural,Cuarto,31
2018,15131,Rural,Decimo,20
2018,15131,Rural,Noveno,16
2018,15131,Rural,Octavo,18
2018,15131,Rural,Once,19
2018,15131,Rural,Primero,35
2018,15131,Rural,Quinto,33
2018,15131,Rural,Segundo,20
2018,15131,Rural,Septimo,19
2018,15131,Rural,Sexto,20
2018,15131,Rural,Tercero,26
2018,15131,Rural,Transición,30
2018,15131,Urbana,Cuarto,9
2018,15131,Urbana,Decimo,19
2018,15131,Urbana,Noveno,29
2018,15131,Urbana,Octavo,30
2018,15131,Urbana,Once,16
2018,15131,Urbana,Primero,11
2018,15131,Urbana,Quinto,13
2018,15131,Urbana,Segundo,20
2018,15131,Urbana,Septimo,32
2018,15131,Urbana,Sexto,38
2018,15131,Urbana,Tercero,9
2018,15131,Urbana,Transición,9
2018,15135,Rural,Ciclo 2 Adultos,2
2018,15135,Rural,Ciclo 3 Adultos,4
2018,15135,Rural,Ciclo 4 Adultos,17
2018,15135,Rural,Ciclo 6 Adultos,5
2018,15135,Rural,Cuarto,31
2018,15135,Rural,Decimo,24
