geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15646,Samacá,Cebolla De Bulbo,2019,7040.000000
15646,Samacá,Cebolla De Bulbo,2019,6440.000000
15646,Samacá,Remolacha,2019,901.000000
15646,Samacá,Remolacha,2019,300.000000
15646,Samacá,Zanahoria,2019,2160.000000
15646,Samacá,Zanahoria,2019,3600.000000
15660,San Eduardo,Tomate Invernadero,2019,120.000000
15660,San Eduardo,Tomate Invernadero,2019,144.000000
15664,San José de Pare,Tomate,2019,10.000000
15664,San José de Pare,Tomate,2019,10.000000
15664,San José de Pare,Tomate Invernadero,2019,25.000000
15664,San José de Pare,Tomate Invernadero,2019,25.000000
15673,San Mateo,Tomate,2019,600.000000
15673,San Mateo,Tomate,2019,600.000000
15673,San Mateo,Cebolla De Bulbo,2019,25.000000
15673,San Mateo,Cebolla De Bulbo,2019,20.000000
15676,San Miguel de Sema,Cebolla De Bulbo,2019,160.000000
15676,San Miguel de Sema,Cebolla De Bulbo,2019,320.000000
15690,Santa María,Otras hortalizas,2019,6.000000
15690,Santa María,Ahuyama,2019,16.000000
15690,Santa María,Guatila,2019,6.000000
15693,Santa Rosa de Viterbo,Cilantro,2019,36.000000
15693,Santa Rosa de Viterbo,Cilantro,2019,48.000000
15693,Santa Rosa de Viterbo,Lechuga,2019,6.000000
15693,Santa Rosa de Viterbo,Lechuga,2019,8.000000
15693,Santa Rosa de Viterbo,Repollo,2019,102.000000
15693,Santa Rosa de Viterbo,Repollo,2019,119.000000
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,324.000000
15693,Santa Rosa de Viterbo,Cebolla De Bulbo,2019,378.000000
15693,Santa Rosa de Viterbo,Remolacha,2019,65.000000
15693,Santa Rosa de Viterbo,Remolacha,2019,52.000000
15693,Santa Rosa de Viterbo,Zanahoria,2019,91.000000
15693,Santa Rosa de Viterbo,Zanahoria,2019,104.000000
15696,Santa Sofía,Tomate Invernadero,2019,8100.000000
15696,Santa Sofía,Tomate Invernadero,2019,4950.000000
15720,Sativanorte,Ahuyama,2019,24.000000
15720,Sativanorte,Ahuyama,2019,27.000000
15720,Sativanorte,Melón,2019,10.000000
15720,Sativanorte,Melón,2019,20.000000
15720,Sativanorte,Tomate,2019,210.000000
15720,Sativanorte,Tomate,2019,197.000000
15740,Siachoque,Otras hortalizas,2019,75.000000
15740,Siachoque,Otras hortalizas,2019,75.000000
15740,Siachoque,Cebolla De Bulbo,2019,6000.000000
15740,Siachoque,Cebolla De Bulbo,2019,6000.000000
15740,Siachoque,Zanahoria,2019,125.000000
15740,Siachoque,Zanahoria,2019,125.000000
15753,Soatá,Tomate,2019,288.000000
15753,Soatá,Tomate,2019,200.000000
15753,Soatá,Cebolla De Bulbo,2019,171.000000
15753,Soatá,Cebolla De Bulbo,2019,225.000000
15755,Socotá,Cebolla De Bulbo,2019,735.000000
15755,Socotá,Cebolla De Bulbo,2019,735.000000
15757,Socha,Tomate,2019,75.000000
15757,Socha,Tomate,2019,85.000000
15757,Socha,Cebolla De Bulbo,2019,185.000000
15757,Socha,Cebolla De Bulbo,2019,175.000000
15759,Sogamoso,Otras hortalizas,2019,30.000000
15759,Sogamoso,Otras hortalizas,2019,25.000000
15759,Sogamoso,Tomate Invernadero,2019,200.000000
15759,Sogamoso,Lechuga,2019,80.000000
15759,Sogamoso,Lechuga,2019,90.000000
15759,Sogamoso,Cebolla De Bulbo,2019,625.000000
15759,Sogamoso,Cebolla De Bulbo,2019,450.000000
15759,Sogamoso,Cebolla De Rama,2019,675.000000
15759,Sogamoso,Cebolla De Rama,2019,500.000000
15761,Somondoco,Tomate,2019,27.000000
15761,Somondoco,Tomate,2019,75.600000
15762,Sora,Tomate,2019,60.000000
15762,Sora,Tomate,2019,60.000000
15762,Sora,Lechuga,2019,230.000000
15762,Sora,Lechuga,2019,230.000000
15762,Sora,Cebolla De Bulbo,2019,2400.000000
15762,Sora,Cebolla De Bulbo,2019,2400.000000
15762,Sora,Remolacha,2019,360.000000
15762,Sora,Remolacha,2019,540.000000
15764,Soracá,Lechuga,2019,20.000000
15764,Soracá,Lechuga,2019,20.000000
15764,Soracá,Cebolla De Bulbo,2019,180.000000
15764,Soracá,Cebolla De Bulbo,2019,140.000000
15764,Soracá,Zanahoria,2019,5850.000000
15764,Soracá,Zanahoria,2019,4590.000000
15776,Sutamarchán,Tomate Invernadero,2019,7381.000000
15776,Sutamarchán,Tomate Invernadero,2019,9211.000000
15776,Sutamarchán,Cebolla De Bulbo,2019,1674.000000
15776,Sutamarchán,Cebolla De Bulbo,2019,1676.000000
15778,Sutatenza,Ahuyama,2019,42.000000
15778,Sutatenza,Ahuyama,2019,35.000000
15778,Sutatenza,Pepino Cohombro,2019,33.000000
15778,Sutatenza,Pepino Cohombro,2019,63.000000
