geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15667,SAN LUIS DE GACENO,Cafe,2013,11
15690,SANTA MARIA,Cafe,2013,3
15469,MONIQUIRÁ,Cafe,2014,1
15897,ZETAQUIRA,Cafe,2014,1
15455,MIRAFLORES,Cafe,2014,951
15664,SAN JOSE DE PARE,Cafe,2014,713
15816,TOGUI,Cafe,2014,619
15686,SANTANA,Cafe,2014,527
15090,BERBEO,Cafe,2014,466
15109,BUENAVISTA,Cafe,2014,463
15106,BRICEÑO,Cafe,2014,457
15185,CHITARAQUE,Cafe,2014,449
15531,PAUNA,Cafe,2014,391
15325,GUAYATÁ,Cafe,2014,365
15442,MARIPÍ,Cafe,2014,320
15514,PÁEZ,Cafe,2014,317
15681,SAN PABLO DE BORBUR,Cafe,2014,302
15212,COPER,Cafe,2014,267
15507,OTANCHE,Cafe,2014,222
15660,SAN EDUARDO,Cafe,2014,215
15135,CAMPOHERMOSO,Cafe,2014,187
15832,TUNUNGUA,Cafe,2014,173
15299,GARAGOA,Cafe,2014,138
15580,QUIPAMA,Cafe,2014,137
15511,PACHAVITA,Cafe,2014,131
15550,PISBA,Cafe,2014,131
15401,LA VICTORIA,Cafe,2014,109
15621,RONDON,Cafe,2014,103
15425,MACANAL,Cafe,2014,92
15480,MUZO,Cafe,2014,77
15377,LABRANZAGRANDE,Cafe,2014,77
15022,ALMEIDA,Cafe,2014,72
15172,CHINAVITA,Cafe,2014,70
15761,SOMONDOCO,Cafe,2014,56
15322,GUATEQUE,Cafe,2014,50
15518,PAJARITO,Cafe,2014,31
15533,PAYA,Cafe,2014,30
15667,SAN LUIS DE GACENO,Cafe,2014,12
15690,SANTA MARIA,Cafe,2014,4
15469,MONIQUIRÁ,Cafe,2015,1
15897,ZETAQUIRA,Cafe,2015,1
15455,MIRAFLORES,Cafe,2015,964
15664,SAN JOSE DE PARE,Cafe,2015,718
15816,TOGUI,Cafe,2015,625
15686,SANTANA,Cafe,2015,532
15109,BUENAVISTA,Cafe,2015,477
15090,BERBEO,Cafe,2015,473
15185,CHITARAQUE,Cafe,2015,455
15106,BRICEÑO,Cafe,2015,402
15531,PAUNA,Cafe,2015,394
15325,GUAYATÁ,Cafe,2015,370
15514,PÁEZ,Cafe,2015,326
15681,SAN PABLO DE BORBUR,Cafe,2015,312
15442,MARIPÍ,Cafe,2015,310
15212,COPER,Cafe,2015,268
15660,SAN EDUARDO,Cafe,2015,226
15507,OTANCHE,Cafe,2015,219
15135,CAMPOHERMOSO,Cafe,2015,191
15832,TUNUNGUA,Cafe,2015,171
15550,PISBA,Cafe,2015,145
15580,QUIPAMA,Cafe,2015,140
15299,GARAGOA,Cafe,2015,136
15511,PACHAVITA,Cafe,2015,122
15621,RONDON,Cafe,2015,116
15401,LA VICTORIA,Cafe,2015,115
15425,MACANAL,Cafe,2015,92
15377,LABRANZAGRANDE,Cafe,2015,80
15480,MUZO,Cafe,2015,80
15022,ALMEIDA,Cafe,2015,70
15172,CHINAVITA,Cafe,2015,65
