Unidad,Subgrupo,geo,Area,Periodo,Valor
Razón x 100¬000 nacidos vivos,Hombre,15087,Belén,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15087,Belén,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15087,Belén,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15087,Belén,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15087,Belén,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15090,Berbeo,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15090,Berbeo,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15090,Berbeo,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15090,Berbeo,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15090,Berbeo,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15092,Betéitiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15092,Betéitiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15092,Betéitiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15092,Betéitiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15092,Betéitiva,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15097,Boavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15097,Boavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15097,Boavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15097,Boavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15097,Boavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15104,Boyacá,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15104,Boyacá,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15104,Boyacá,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15104,Boyacá,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15104,Boyacá,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15106,Briceño,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15106,Briceño,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15106,Briceño,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15106,Briceño,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15106,Briceño,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15109,Buenavista,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15109,Buenavista,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15109,Buenavista,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15109,Buenavista,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15109,Buenavista,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15114,Busbanzá,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15114,Busbanzá,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15114,Busbanzá,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15114,Busbanzá,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15114,Busbanzá,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15131,Caldas,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15131,Caldas,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15131,Caldas,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15131,Caldas,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15131,Caldas,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15135,Campohermoso,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15135,Campohermoso,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15135,Campohermoso,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15135,Campohermoso,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15135,Campohermoso,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15162,Cerinza,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15162,Cerinza,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15162,Cerinza,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15162,Cerinza,2014,0.000000
Razón x 100¬000 nacidos vivos,Urbano,15162,Cerinza,2014,0.000000
Razón x 100¬000 nacidos vivos,Hombre,15172,Chinavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Mujer,15172,Chinavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Rural,15172,Chinavita,2014,0.000000
Razón x 100¬000 nacidos vivos,Todos,15172,Chinavita,2014,0.000000
